uid,nces_school_id,school,nces_district_id,district_name,date,school_year,year,time,day_of_week,city,state,school_type,enrollment,killed,injured,casualties,shooting_type,age_shooter1,gender_shooter1,race_ethnicity_shooter1,shooter_relationship1,shooter_deceased1,deceased_notes1,age_shooter2,gender_shooter2,race_ethnicity_shooter2,shooter_relationship2,shooter_deceased2,deceased_notes2,white,black,hispanic,asian,american_indian_alaska_native,hawaiian_native_pacific_islander,two_or_more,resource_officer,weapon,weapon_source,lat,long,staffing,low_grade,high_grade,lunch,county,state_fips,county_fips,ulocale,School,Year,Date,Time,City,State,Killed,Injured,Longitude,Latitude,School.1,Year.1,Date.1,Time.1,City.1,State.1,Killed.1,Injured.1,Longitude.1,Latitude.1,School,Year,Date,Time,City,State,Killed,Injured,Longitude,Latitude
11,280132000190,Horn Lake High School,2801320.0,Desoto County School District,2/22/2000,1999-2000,2000,,Tuesday,Horn Lake,Mississippi,public,1197,0,0,0,targeted,,m,,,0.0,,,,,,,,991.0,166.0,25,14.0,1.0,,,0,handgun,,34.948919,-90.035423,65.0,9,12,324,DeSoto County,28,28033,21.0,Horn Lake High School,2000,2/22/2000,,Horn Lake,Mississippi,0,0,-90.035423,34.948919,Horn Lake High School,2000,2/22/2000,,Horn Lake,Mississippi,0,0,-90.035423,34.948919,Horn Lake High School,2000,2/22/2000,,Horn Lake,Mississippi,0,0,-90.035423,34.948919
12,402961001555,Tecumseh High School,4029610.0,Tecumseh,2/24/2000,1999-2000,2000,9:00 AM,Thursday,Tecumseh,Oklahoma,public,711,0,0,0,targeted,19.0,m,,former boyfriend of student,0.0,,,,,,,,527.0,8.0,12,2.0,162.0,,,0,,,35.255494,-96.943184,45.5,9,12,184,Pottawatomie County,40,40125,32.0,Tecumseh High School,2000,2/24/2000,9:00 AM,Tecumseh,Oklahoma,0,0,-96.943184,35.255494,Tecumseh High School,2000,2/24/2000,9:00 AM,Tecumseh,Oklahoma,0,0,-96.943184,35.255494,Tecumseh High School,2000,2/24/2000,9:00 AM,Tecumseh,Oklahoma,0,0,-96.943184,35.255494
13,260450004135,Buell Elementary School,2604500.0,Beecher Community School District,2/29/2000,1999-2000,2000,10:00 AM,Tuesday,Mount Morris Township,Michigan,public,459,1,0,1,targeted,6.0,m,b,student,0.0,,,,,,,,125.0,261.0,37,0.0,1.0,,,0,.32-caliber semiautomatic handgun,"uncle's friend, found in open shoebox",43.079604,-83.706037,20.0,KG,4,421,Genesee County,26,26049,21.0,Buell Elementary School,2000,2/29/2000,10:00 AM,Mount Morris Township,Michigan,1,0,-83.706037,43.079604,Buell Elementary School,2000,2/29/2000,10:00 AM,Mount Morris Township,Michigan,1,0,-83.706037,43.079604,Buell Elementary School,2000,2/29/2000,10:00 AM,Mount Morris Township,Michigan,1,0,-83.706037,43.079604
14,401521000713,Hugo High School,4015210.0,Hugo,4/6/2000,1999-2000,2000,12:00 PM,Thursday,Hugo,Oklahoma,public,499,0,1,1,targeted,33.0,f,,parent of student,0.0,,,,,,,,263.0,117.0,11,1.0,107.0,,,1,small-caliber pistol,legally purchased by shooter,34.010732,-95.511435,34.7,9,12,236,Choctaw County,40,40023,33.0,Hugo High School,2000,4/6/2000,12:00 PM,Hugo,Oklahoma,0,1,-95.511435,34.010732,Hugo High School,2000,4/6/2000,12:00 PM,Hugo,Oklahoma,0,1,-95.511435,34.010732,Hugo High School,2000,4/6/2000,12:00 PM,Hugo,Oklahoma,0,1,-95.511435,34.010732
15,040146000077,Carmichael Elementary School,401460.0,Sierra Vista Unified District,5/10/2000,1999-2000,2000,1:30 PM,Wednesday,Sierra Vista,Arizona,public,397,1,0,1,targeted,39.0,m,,spouse of teacher,1.0,suicide,,,,,,,178.0,51.0,154,8.0,6.0,,,0,,,31.56269,-110.29924,24.5,KG,5,,Cochise County,4,4003,13.0,Carmichael Elementary School,2000,5/10/2000,1:30 PM,Sierra Vista,Arizona,1,0,-110.29924,31.56269,Carmichael Elementary School,2000,5/10/2000,1:30 PM,Sierra Vista,Arizona,1,0,-110.29924,31.56269,Carmichael Elementary School,2000,5/10/2000,1:30 PM,Sierra Vista,Arizona,1,0,-110.29924,31.56269
16,120150002873,Lake Worth Middle School,1201500.0,Palm Beach County School District,5/26/2000,1999-2000,2000,3:00 PM,Friday,Lake Worth,Florida,public,1525,1,0,1,targeted,13.0,m,b,student,0.0,,,,,,,,414.0,560.0,528,17.0,6.0,,,0,.25-caliber handgun,grandfather,26.451351,-80.085968,95.0,6,8,1186,Palm Beach County,12,12099,21.0,Lake Worth Middle School,2000,5/26/2000,3:00 PM,Lake Worth,Florida,1,0,-80.085968,26.451351,Lake Worth Middle School,2000,5/26/2000,3:00 PM,Lake Worth,Florida,1,0,-80.085968,26.451351,Lake Worth Middle School,2000,5/26/2000,3:00 PM,Lake Worth,Florida,1,0,-80.085968,26.451351
17,530723002564,Dimmitt Middle School,5307230.0,Renton,7/17/2000,1999-2000,2000,10:30 AM,Monday,Renton,Washington,public,956,0,0,0,indiscriminate,13.0,m,w,student in summer school,0.0,,,,,,,,276.0,375.0,73,218.0,14.0,,,0,.22-caliber handgun,grandparents,47.493015,-122.233115,42.3,6,8,,King County,53,53033,21.0,Dimmitt Middle School,2000,7/17/2000,10:30 AM,Renton,Washington,0,0,-122.233115,47.493015,Dimmitt Middle School,2000,7/17/2000,10:30 AM,Renton,Washington,0,0,-122.233115,47.493015,Dimmitt Middle School,2000,7/17/2000,10:30 AM,Renton,Washington,0,0,-122.233115,47.493015
18,390444101350,Mount Healthy North Junior High,3904441.0,Mount Healthy City SD,9/18/2000,2000-2001,2000,,Monday,Mount Healthy,Ohio,public,341,0,0,0,indiscriminate,14.0,m,,student,0.0,,,,,,,,149.0,192.0,0,0.0,0.0,,,1,.380-caliber semiautomatic handgun,relatives,39.251506,-84.555558,22.8,7,8,163,Hamilton County,39,39061,21.0,Mount Healthy North Junior High,2000,9/18/2000,,Mount Healthy,Ohio,0,0,-84.555558,39.251506,Mount Healthy North Junior High,2000,9/18/2000,,Mount Healthy,Ohio,0,0,-84.555558,39.251506,Mount Healthy North Junior High,2000,9/18/2000,,Mount Healthy,Ohio,0,0,-84.555558,39.251506
19,220117000980,Carter G. Woodson Middle School,2201170.0,Orleans Parish School Board,9/26/2000,2000-2001,2000,12:00 PM,Tuesday,New Orleans,Louisiana,public,686,0,1,1,targeted,13.0,m,,student,0.0,,,,,,,,0.0,685.0,1,0.0,0.0,,,0,.38-caliber revolver,,29.939676,-90.090046,45.0,6,8,551,Orleans Parish,22,22071,11.0,Carter G. Woodson Middle School,2000,9/26/2000,12:00 PM,New Orleans,Louisiana,0,1,-90.090046,29.939676,Carter G. Woodson Middle School,2000,9/26/2000,12:00 PM,New Orleans,Louisiana,0,1,-90.090046,29.939676,Carter G. Woodson Middle School,2000,9/26/2000,12:00 PM,New Orleans,Louisiana,0,1,-90.090046,29.939676
20,062927004519,Hueneme High School,629270.0,Oxnard Union High,1/10/2001,2000-2001,2001,12:50 PM,Wednesday,Oxnard,California,public,2764,0,0,0,targeted,17.0,m,h,not a student but often hung around the school,1.0,killed by police,,,,,,,311.0,124.0,2145,134.0,50.0,,,1,handgun,,34.160149,-119.1822,110.2,9,12,1169,Ventura County,6,6111,12.0,Hueneme High School,2001,1/10/2001,12:50 PM,Oxnard,California,0,0,-119.1822,34.160149,Hueneme High School,2001,1/10/2001,12:50 PM,Oxnard,California,0,0,-119.1822,34.160149,Hueneme High School,2001,1/10/2001,12:50 PM,Oxnard,California,0,0,-119.1822,34.160149
