School,Type,Year,Date,Time,City,State,City Type,Race,Killed,Injured,Victims,Longitude,Latitude
Hine Junior High School,Middle School,1970,01/05/1970,Unknown,Washington,DC,,Unknown,Unknown,Unknown,Unknown,,
Sousa Junior High,Middle School,1970,01/05/1970,Unknown,Washington,DC,,Unknown,Unknown,Unknown,Unknown,,
Unnamed High School,High School,1970,01/05/1970,Unknown,Washington,DC,,Unknown,Unknown,Unknown,Unknown,,
John F. Kennedy High School,High School,1970,02/06/1970,Unknown,Cleveland,Ohio,,Unknown,Unknown,Unknown,Unknown,,
David Starr Jordan High School,High School,1970,03/23/1970,Unknown,Long Beach,California,,Unknown,Unknown,Unknown,Unknown,,
Pine Bluff Coleman High School,High School,1970,04/15/1970,12:00 PM,Pine Bluff,Arkansas,,Unknown,Unknown,Unknown,Unknown,,
Pierre S. Dupont High School,High School,1970,04/22/1970,9:00 AM,Wilmington,Delaware,,Unknown,Unknown,Unknown,Unknown,,
Carver High School,High School,1970,05/08/1970,10:00 AM,Delray Beach,Florida,,Unknown,Unknown,Unknown,Unknown,,
Ben Lomond High School,High School,1970,05/15/1970,Unknown,Ogden,Utah,,Unknown,Unknown,Unknown,Unknown,,
Riverside High School,High School,1970,08/28/1970,12:00 AM,El Paso,Texas,,Unknown,Unknown,Unknown,Unknown,,
Allapatah Elementary School,Elementary School,1970,08/31/1970,Unknown,Miami,Florida,,Unknown,Unknown,Unknown,Unknown,,
Hamilton High School,High School,1970,09/14/1970,Unknown,Nashville,Tennessee,,Unknown,Unknown,Unknown,Unknown,,
Meridian High School,High School,1970,09/24/1970,Unknown,Meridian ,Idaho,,Unknown,Unknown,Unknown,Unknown,,
Central High School,High School,1970,09/28/1970,Unknown,Davenport,Iowa,,Unknown,Unknown,Unknown,Unknown,,
Pontiac Central High School,High School,1970,10/05/1970,Unknown,Detroit,Michigan,,Unknown,Unknown,Unknown,Unknown,,
Booker T. Washington High School,High School,1970,10/19/1970,Unknown,Memphis,Tennessee,,Unknown,Unknown,Unknown,Unknown,,
Washington Junior High School,Middle School,1970,10/20/1970,12:00 PM,Nashville,Tennessee,,Unknown,Unknown,Unknown,Unknown,,
Appleseed Junior High School,Middle School,1970,10/27/1970,8:30 AM,Mansfield,Ohio,,Unknown,Unknown,Unknown,Unknown,,
Harlan High School,High School,1970,11/20/1970,Unknown,Chicago,Illinois,,Unknown,Unknown,Unknown,Unknown,,
Xavier High School,High School,1970,12/12/1970,11:55 PM,Appleton,Wisconsin,,Unknown,Unknown,Unknown,Unknown,,
Morris E. Leeds Middle School,Middle School,1971,02/02/1971,Unknown,Philadelphia,Pennsylvania,,Unknown,Unknown,Unknown,Unknown,,
John F. Kennedy High School,High School,1971,02/05/1971,Unknown,Willingboro,Pennsylvania,,Unknown,Unknown,Unknown,Unknown,,
Oak Cliff High School,High School,1971,02/10/1971,Unknown,Dallas,Texas,,Unknown,Unknown,Unknown,Unknown,,
Franklin D. Roosevelt Junior High School,Middle School,1971,02/25/1971,Unknown,Cleveland,Ohio,,Unknown,Unknown,Unknown,Unknown,,
Roskruge Junior High School,Middle School,1971,03/09/1971,Unknown,Tucson,Arizona,,Unknown,Unknown,Unknown,Unknown,,
William Penn High School,High School,1971,04/05/1971,Unknown,Harrisburg,Pennsylvania,,Unknown,Unknown,Unknown,Unknown,,
Benton Harbor High School,High School,1971,05/27/1971,Unknown,Saint Joseph,Michigan,,Unknown,Unknown,Unknown,Unknown,,
East Aurora Middle School,Middle School,1971,06/02/1971,Unknown,East Aurora,New York,,Unknown,Unknown,Unknown,Unknown,,
Monessen High School,High School,1971,08/20/1971,Unknown,Monessen,Pennsylvania,,Unknown,Unknown,Unknown,Unknown,,
Dunbar High School,High School,1971,09/09/1971,Unknown,Lubbock,Texas,,Unknown,Unknown,Unknown,Unknown,,
McKinley Vocational High School,High School,1971,09/24/1971,Unknown,Buffalo,New York,,Unknown,Unknown,Unknown,Unknown,,
Central High School,High School,1971,09/28/1971,12:00 PM,Minneapolis,Minnesota,,Unknown,Unknown,Unknown,Unknown,,
Peabody Junior High School,Middle School,1971,09/29/1971,Unknown,Petersburg,Virginia,,Unknown,Unknown,Unknown,Unknown,,
City College High School,High School,1971,10/28/1971,11:50 AM,Baltimore,Maryland,,Unknown,Unknown,Unknown,Unknown,,
Forest Park High School,High School,1971,10/29/1971,11:55 AM,Baltimore,Maryland,,Unknown,Unknown,Unknown,Unknown,,
Frederick Douglass High School,High School,1971,10/29/1971,3:00 PM,Baltimore,Maryland,,Unknown,Unknown,Unknown,Unknown,,
Carlsbad Mid-High School,High School,1971,11/03/1971,10:19 AM,Carlsbad,New Mexico,,Unknown,Unknown,Unknown,Unknown,,
Grove Elementary School,Elementary School,1971,11/08/1971,9:00 AM,Tulsa,Oklahoma,,Unknown,Unknown,Unknown,Unknown,,
Edmondson Senior High School,High School,1971,11/24/1971,2:27 PM,Baltimore,Maryland,,Unknown,Unknown,Unknown,Unknown,,
Louis Stevenson Junior High School,Middle School,1971,12/06/1971,Unknown,Los Angeles,California,,Unknown,Unknown,Unknown,Unknown,,
Carver Vocational High School,High School,1971,12/13/1971,8:18 AM,Baltimore,Maryland,,Unknown,Unknown,Unknown,Unknown,,
Parkview Elementary School,Elementary School,1972,01/05/1972,9:30 AM,Washington,DC,,Unknown,Unknown,Unknown,Unknown,,
Stow High School,High School,1972,01/24/1972,10:00 AM,Stow,Ohio,,Unknown,Unknown,Unknown,Unknown,,
Gwynn Falls Junior High School,Middle School,1972,01/26/1972,1:55 PM,Baltimore,Maryland,,Unknown,Unknown,Unknown,Unknown,,
Harlem Park Junior High School,Middle School,1972,01/26/1972,2:45 PM,Baltimore,Maryland,,Unknown,Unknown,Unknown,Unknown,,
Camlumet High School,High School,1972,02/14/1972,Unknown,Chicago,Illinois,,Unknown,Unknown,Unknown,Unknown,,
Kenwood High School,High School,1972,02/15/1972,Unknown,Chicago,Illinois,,Unknown,Unknown,Unknown,Unknown,,
Markham Junior High School,Middle School,1972,02/28/1972,Unknown,Los Angeles,California,,Unknown,Unknown,Unknown,Unknown,,
Unnamed Junior High School,Middle School,1972,03/13/1972,Unknown,Houston,Texas,,Unknown,Unknown,Unknown,Unknown,,
East Ascension Junior High,Middle School,1972,04/12/1972,Unknown,Gonzales,Louisiana,,Unknown,Unknown,Unknown,Unknown,,
Libby Booth Elementary School,Elementary School,1972,05/04/1972,12:00 PM,Reno,Nevada,,Unknown,Unknown,Unknown,Unknown,,
Decatur Central High School,High School,1972,05/05/1972,1:30 PM,Indianapolis,Indiana,,Unknown,Unknown,Unknown,Unknown,,
Francis Scott Key Junior High,Middle School,1972,09/14/1972,12:00 PM,Houston,Texas,,Unknown,Unknown,Unknown,Unknown,,
Saginaw High School,High School,1972,09/15/1972,Unknown,Saginaw,Michigan,,Unknown,Unknown,Unknown,Unknown,,
Cullen Junior High,Middle School,1972,09/19/1972,Unknown,Houston,Texas,,Unknown,Unknown,Unknown,Unknown,,
Thorton Junior High,Middle School,1972,09/21/1972,Unknown,Akron,Ohio,,Unknown,Unknown,Unknown,Unknown,,
Jefferson High School,High School,1972,11/11/1972,Unknown,Los Angeles,California,,Unknown,Unknown,Unknown,Unknown,,
Pontiac Central High School,High School,1972,11/27/1972,Unknown,Pontiac,Michigan,,Unknown,Unknown,Unknown,Unknown,,
Miami Northwest High School,High School,1972,11/29/1972,Unknown,Miami,Florida,,Unknown,Unknown,Unknown,Unknown,,
South Iredell High School,High School,1973,01/05/1973,Unknown,Statesville,North Carolina,,Unknown,Unknown,Unknown,Unknown,,
John Marshall High School,High School,1973,01/18/1973,Unknown,Los Angeles,California,,Unknown,Unknown,Unknown,Unknown,,
Cumming High School,High School,1973,01/31/1973,12:00 PM,Burlington,North Carolina,,Unknown,Unknown,Unknown,Unknown,,
Booker T. Washington High School,High School,1973,02/12/1973,5:15 PM,Montgomery,Alabama,,Unknown,Unknown,Unknown,Unknown,,
Armstrong High School,High School,1973,02/26/1973,8:00 AM,Richmond,Virginia,,Unknown,Unknown,Unknown,Unknown,,
Locke High School,High School,1973,04/05/1973,Unknown,Los Angeles,California,,Unknown,Unknown,Unknown,Unknown,,
Rayen High School,High School,1973,05/01/1973,Unknown,Youngtown,Ohio,,Unknown,Unknown,Unknown,Unknown,,
Wilson High School,High School,1973,09/28/1973,10:30 AM,Los Angeles,California,,Unknown,Unknown,Unknown,Unknown,,
Elmhurst Wood Park Community High School,High School,1973,10/02/1973,Unknown,Almwood Park,Illinois,,Unknown,Unknown,Unknown,Unknown,,
Beaumont High School,High School,1973,10/19/1973,Unknown,St. Louis,Missouri,,Unknown,Unknown,Unknown,Unknown,,
Barberton High School,High School,1973,10/23/1973,12:00 PM,Barberton,Ohio,,Unknown,Unknown,Unknown,Unknown,,
Sumner High School,High School,1973,10/23/1973,1:00 PM,St. Louis,Missouri,,Unknown,Unknown,Unknown,Unknown,,
Central High School,High School,1973,10/24/1973,Unknown,Minneapolis,Minnesota,,Unknown,Unknown,Unknown,Unknown,,
Northwestern High School,High School,1973,10/31/1973,Unknown,St. Louis,Missouri,,Unknown,Unknown,Unknown,Unknown,,
Woodell Phillips High School,High School,1973,11/08/1973,10:00 AM,Chicago,Illinois,,Unknown,Unknown,Unknown,Unknown,,
Long Beach Polytechnic High School,High School,1973,11/09/1973,Unknown,Los Angeles,California,,Unknown,Unknown,Unknown,Unknown,,
Fremont High School,High School,1973,12/06/1973,Unknown,Los Angeles,California,,Unknown,Unknown,Unknown,Unknown,,
Hughes High School,High School,1973,12/13/1973,1:10 PM,Cincinnati,Ohio,,Unknown,Unknown,Unknown,Unknown,,
Barton Elementary School,Elementary School,1974,01/17/1974,Unknown,Chicago,Illinois,,Unknown,Unknown,Unknown,Unknown,,
Locke High School,High School,1974,01/22/1974,Unknown,Los Angeles,California,,Unknown,Unknown,Unknown,Unknown,,
James Madison Junior High School,Middle School,1974,02/07/1974,Unknown,Oakland,California,,Unknown,Unknown,Unknown,Unknown,,
Brownstown Central High School,High School,1974,03/22/1974,8:00 AM,Brownstown,Indiana,,Unknown,Unknown,Unknown,Unknown,,
St. Stephen's Parochial School,Other,1974,04/02/1974,1:15 PM,Bridgeport,Connecticut,,Unknown,Unknown,Unknown,Unknown,,
Church Hill High School,High School,1974,05/10/1974,Unknown,Rogersville,Tennessee,,Unknown,Unknown,Unknown,Unknown,,
Highlands Elementary School,Elementary School,1974,05/19/1974,Unknown,Orlando,Florida,,Unknown,Unknown,Unknown,Unknown,,
Jefferson High School,High School,1974,09/23/1974,Unknown,Daly City,California,,Unknown,Unknown,Unknown,Unknown,,
San Fernando High School,High School,1974,09/25/1974,Unknown,Los Angeles,California,,Unknown,Unknown,Unknown,Unknown,,
Destrehan High School,High School,1974,10/07/1974,Unknown,Hahnville,Louisiana,,Unknown,Unknown,Unknown,Unknown,,
Douglass High School,High School,1974,10/21/1974,Unknown,Baltimore,Maryland,,Unknown,Unknown,Unknown,Unknown,,
C A Brown High School,High School,1974,11/18/1974,3:00 PM,Charleston,South Carolina,,Unknown,Unknown,Unknown,Unknown,,
Booker Junior High School,Middle School,1974,11/21/1974,1:30 PM,Little Rock,Arkansas,,Unknown,Unknown,Unknown,Unknown,,
C A Brown High School,High School,1974,11/25/1974,3:00 PM,Charleston,South Carolina,,Unknown,Unknown,Unknown,Unknown,,
Manual Arts High School,High School,1974,12/18/1974,12:00 PM,Los Angeles,California,,Unknown,Unknown,Unknown,Unknown,,
Olean High School,High School,1974,12/30/1974,3:00 PM,Olean,New York,,Unknown,Unknown,Unknown,Unknown,,
Board of Cooperative Educational Services,Other,1975,02/07/1975,Unknown,Mineola,New York,,Unknown,Unknown,Unknown,Unknown,,
St. James School,K-8,1975,02/24/1975,Unknown,Penns Grove,New Jersey,,Unknown,Unknown,Unknown,Unknown,,
Jones High School,High School,1975,03/12/1975,Unknown,Houston,Texas,,Unknown,Unknown,Unknown,Unknown,,
Sumner High School,High School,1975,03/18/1975,Unknown,St. Louis,Missouri,,Unknown,Unknown,Unknown,Unknown,,
Fairmount Elementary School,Elementary School,1975,03/21/1975,12:00 PM,Richmond,Virginia,,Unknown,Unknown,Unknown,Unknown,,
Patterson Cooperative High School,High School,1975,03/21/1975,Unknown,Dayton,Ohio,,Unknown,Unknown,Unknown,Unknown,,
Rock Junior High School,Middle School,1975,05/15/1975,12:30 PM,St. Louis,Missouri,,Unknown,Unknown,Unknown,Unknown,,
Pitcher School,Elementary,1975,05/27/1975,Unknown,Detroit,Michigan,,Unknown,Unknown,Unknown,Unknown,,
Dett Elementary School,Elementary School,1975,07/09/1975,8:15 AM,Chicago,Illinois,,Unknown,Unknown,Unknown,Unknown,,
Central High School,High School,1975,07/11/1975,7:35 AM,St. Louis,Missouri,,Unknown,Unknown,Unknown,Unknown,,
Grant High School,High School,1975,09/11/1975,Unknown,Oklahoma City,Oklahoma,,Unknown,Unknown,Unknown,Unknown,,
Hermosa Elementary School,Elementary School,1975,10/01/1975,8:00 AM,Artesia,New Mexico,,Unknown,Unknown,Unknown,Unknown,,
Murphy High School,High School,1975,10/24/1975,Unknown,Atlanta,Georgia,,Unknown,Unknown,Unknown,Unknown,,
Orange High School,High School,1975,12/18/1975,12:00 PM,Santa Ana,California,,Unknown,Unknown,Unknown,Unknown,,
Camelback High School,High School,1976,01/01/1976,Unknown,Phoenix,Arizona,,Unknown,Unknown,Unknown,Unknown,,
Columbus Central High School,High School,1976,01/23/1976,2:20 PM,Columbus,Ohio,,Unknown,Unknown,Unknown,Unknown,,
Escambia High School,High School,1976,02/06/1976,Unknown,Pensacola,Florida,,Unknown,Unknown,Unknown,Unknown,,
Murray-Wright High School,High School,1976,02/12/1976,Unknown,Detroit,Michigan,,Unknown,Unknown,Unknown,Unknown,,
O D Wyatt High School,High School,1976,04/12/1976,Unknown,Fort Worth,Texas,,Unknown,Unknown,Unknown,Unknown,,
Mark Twain School,Elementary,1976,05/13/1976,Unknown,St. Louis,Missouri,,Unknown,Unknown,Unknown,Unknown,,
Palm Beach Gardens High School,High School,1976,05/14/1976,12:00 PM,West Palm Beach,Florida,,Unknown,Unknown,Unknown,Unknown,,
Mt. Savage High School,High School,1976,06/02/1976,11:45 AM,Cumberland,Maryland,,Unknown,Unknown,Unknown,Unknown,,
Guildord County School Bus,Unknown,1976,09/20/1976,Unknown,Greensboro,North Carolina,,Unknown,Unknown,Unknown,Unknown,,
Burt Elementary School,Elementary School,1976,11/10/1976,Unknown,Detroit,Michigan,,Unknown,Unknown,Unknown,Unknown,,
Fremont School,Elementary,1976,12/10/1976,Unknown,St. Louis,Missouri,,Unknown,Unknown,Unknown,Unknown,,
Old Main Eisenhower High School,High School,1977,01/13/1977,7:30 AM,Blue Island,Illinois,,Unknown,Unknown,Unknown,Unknown,,
Fenger High School,High School,1977,02/09/1977,Unknown,Chicago,Illinois,,Unknown,Unknown,Unknown,Unknown,,
Horace Mann Junior High School,Middle School,1977,02/28/1977,Unknown,Amarillo,Texas,,Unknown,Unknown,Unknown,Unknown,,
Roosevelt High School,High School,1977,02/28/1977,Unknown,St. Louis,Missouri,,Unknown,Unknown,Unknown,Unknown,,
Collinsville High School,High School,1977,03/08/1977,12:35 PM,Edwardsville,Illinois,,Unknown,Unknown,Unknown,Unknown,,
Parochial School,Other,1977,03/21/1977,Unknown,Hamburg,New York,,Unknown,Unknown,Unknown,Unknown,,
Whitharral High School,High School,1977,04/07/1977,9:00 AM,Whitharral,Texas,,Unknown,Unknown,Unknown,Unknown,,
Pioneer Christian Academy,Other,1977,04/18/1977,9:00 AM,Nashville,Tennessee,,Unknown,Unknown,Unknown,Unknown,,
Stone Middle School,Middle School,1977,05/17/1977,8:15 PM,Cocoa,Florida,,Unknown,Unknown,Unknown,Unknown,,
Holy Trinity High School,High School,1977,06/22/1977,Unknown,Chicago,Illinois,,Unknown,Unknown,Unknown,Unknown,,
South Junior High School,Middle School,1977,07/11/1977,Unknown,Colorado Springs,Colorado,,Unknown,Unknown,Unknown,Unknown,,
Hazelwood Central Senior High School,High School,1977,11/29/1977,7:05 PM,St. Louis,Missouri,,Unknown,Unknown,Unknown,Unknown,,
Vashon High School,High School,1977,11/29/1977,Unknown,St. Louis,Missouri,,Unknown,Unknown,Unknown,Unknown,,
Petaluma McNear Elementary,Elementary,1977,12/09/1977,Unknown,Santa Rosa,California,,Unknown,Unknown,Unknown,Unknown,,
West Orange High School,High School,1977,12/12/1977,4:00 PM,Winter Garden,Florida,,Unknown,Unknown,Unknown,Unknown,,
Blue Hills Vocational High School,High School,1977,12/15/1977,Unknown,Canton,Massachusetts,,Unknown,Unknown,Unknown,Unknown,,
Christian County Middle School,Middle School,1978,01/11/1978,8:10 AM,Hopkinsville,Kentucky,,Unknown,Unknown,Unknown,Unknown,,
Hayes Junior High School,Middle School,1978,02/09/1978,8:00 AM,St. Albans,West Virginia,,Unknown,Unknown,Unknown,Unknown,,
Everett High School,High School,1978,02/22/1978,3:00 PM,Lansing,Michigan,,Unknown,Unknown,Unknown,Unknown,,
Monroe Elementary School,Elementary School,1978,03/09/1978,Unknown,Santa Rosa,California,,Unknown,Unknown,Unknown,Unknown,,
Gallatin Junior High School,Middle School,1978,03/29/1978,Unknown,Nashville,Tennessee,,Unknown,Unknown,Unknown,Unknown,,
Fordson High School,High School,1978,04/14/1978,1:30 PM,Detroit,Michigan,,Unknown,Unknown,Unknown,Unknown,,
Paul Dunbar Elementary School,Elementary School,1978,04/26/1978,Unknown,Dallas,Texas,,Unknown,Unknown,Unknown,Unknown,,
Ridgewood High School,High School,1978,04/28/1978,10:30 PM,Norridge,Illinois,,Unknown,Unknown,Unknown,Unknown,,
Murchison Junior High School,Middle School,1978,05/18/1978,9:00 AM,Austin,Texas,,Unknown,Unknown,Unknown,Unknown,,
Downtown Junior High School,Middle School,1978,05/19/1978,Unknown,Philadelphia,Pennsylvania,,Unknown,Unknown,Unknown,Unknown,,
Dover Air High,High,1978,06/07/1978,Unknown,Dover,Delaware,,Unknown,Unknown,Unknown,Unknown,,
Weymouth South High School,High School,1978,06/10/1978,Unknown,Weymouth,Massachusetts,,Unknown,Unknown,Unknown,Unknown,,
Lanett Junior High School,Middle School,1978,10/17/1978,Unknown,Lanett,Alabama,,Unknown,Unknown,Unknown,Unknown,,
University City High School,High School,1978,10/17/1978,10:15 AM,University City,Missouri,,Unknown,Unknown,Unknown,Unknown,,
Park West High School,High School,1978,11/29/1978,12:30 PM,New York,New York,,Unknown,Unknown,Unknown,Unknown,,
Wilbur Cross High School,High School,1978,12/14/1978,Unknown,New Haven,Connecticut,,Unknown,Unknown,Unknown,Unknown,,
Grover Cleveland Elementary School,Elementary School,1979,01/29/1979,8:30 AM,San Diego,California,,Unknown,Unknown,Unknown,Unknown,,
Barstow High School,High School,1979,02/26/1979,Unknown,Barstow,California,,Unknown,Unknown,Unknown,Unknown,,
Barstow High School,High School,1979,02/26/1979,Unknown,Barstow,California,,Unknown,Unknown,Unknown,Unknown,,
McArthur High School North,High School,1979,03/14/1979,2:20 PM,Miami,Florida,,Unknown,Unknown,Unknown,Unknown,,
Los Angeles High School,High School,1979,03/28/1979,2:20 PM,Los Angeles,California,,Unknown,Unknown,Unknown,Unknown,,
Wisconsin Lutheran High School,High School,1979,04/16/1979,Unknown,Milwaukee,Wisconsin,,Unknown,Unknown,Unknown,Unknown,,
Martin L. Mattei Junior High School,Middle School,1979,04/25/1979,Unknown,Hughestown,Pennsylvania,,Unknown,Unknown,Unknown,Unknown,,
Azle Junior High School,Middle School,1979,04/26/1979,3:30 PM,Azle,Texas,,Unknown,Unknown,Unknown,Unknown,,
New Carlisle Elementary School,Elementary School,1979,06/14/1979,Unknown,New Carlisle,Ohio,,Unknown,Unknown,Unknown,Unknown,,
Carter G. Woodson Middle School,Middle School,1979,09/26/1979,11:50 AM,New Orleans,Louisiana,,Unknown,Unknown,Unknown,Unknown,,
Charlestown High School,High School,1979,09/28/1979,Unknown,Charlestown,Massachusetts,,Unknown,Unknown,Unknown,Unknown,,
O Fallen Technical High School,High School,1979,10/23/1979,Unknown,St. Louis,Missouri,,Unknown,Unknown,Unknown,Unknown,,
Washington High School,High School,1979,11/05/1979,Unknown,Indianapolis,Indiana,,Unknown,Unknown,Unknown,Unknown,,
Unknown School,Unknown,1979,11/30/1979,Unknown,Lewisville,Texas,,Unknown,Unknown,Unknown,Unknown,,
Eastern High School,High School,1979,12/03/1979,Unknown,Baltimore,Maryland,,Unknown,Unknown,Unknown,Unknown,,
Blewett Middle School,Middle School,1979,12/21/1979,Unknown,St. Louis,Missouri,,Unknown,Unknown,Unknown,Unknown,,
Stamps High School,High School,1980,01/07/1980,9:02 AM,Stamps,Arkansas,,Unknown,Unknown,Unknown,Unknown,,
Lafayette High School,High School,1980,01/29/1980,8:05 AM,Williamsburg,Virginia,,Unknown,Unknown,Unknown,Unknown,,
Langdon Elementary School,Elementary School,1980,02/01/1980,9:00 AM,"Washington, DC",DC,,Unknown,Unknown,Unknown,Unknown,,
Valley View Elementary School,Elementary School,1980,02/07/1980,10:30 AM,Longview,Texas,,Unknown,Unknown,Unknown,Unknown,,
Arsenal Technical High School,High School,1980,02/11/1980,12:50 PM,Indianapolis,Indiana,,Unknown,Unknown,Unknown,Unknown,,
Hughes School,Other,1980,02/15/1980,1:40 PM,McComb,Mississippi,,Unknown,Unknown,Unknown,Unknown,,
J Leslie Patton School,High,1980,03/20/1980,3:33 PM,Dallas,Texas,,Unknown,Unknown,Unknown,Unknown,,
Frederick Douglass Senior High School,High School,1980,03/31/1980,9:00 AM,Baltimore,Maryland,,Unknown,Unknown,Unknown,Unknown,,
Capeville Elementary School,Elementary School,1980,04/17/1980,10:15 AM,Capeville,Virginia,,Unknown,Unknown,Unknown,Unknown,,
Clara Barton High School,High School,1980,05/30/1980,9:30 AM,Brooklyn,New York,,Unknown,Unknown,Unknown,Unknown,,
Whittier High School,High School,1980,09/02/1980,Unknown,Los Angeles,California,,Unknown,Unknown,Unknown,Unknown,,
Forrest High School,High School,1980,09/08/1980,Unknown,Jacksonville,Florida,,Unknown,Unknown,Unknown,Unknown,,
Springarn High School,High School,1980,09/10/1980,10:30 AM,Washington,DC,,Unknown,Unknown,Unknown,Unknown,,
John S. Shaw High School,High School,1980,09/11/1980,Unknown,Mobile,Alabama,,Unknown,Unknown,Unknown,Unknown,,
Bridgeport Central High School,High School,1980,09/26/1980,8:55 AM,Bridgeport,Connecticut,,Unknown,Unknown,Unknown,Unknown,,
Central High School,High School,1980,10/13/1980,Unknown,Tuscaloosa,Alabama,,Unknown,Unknown,Unknown,Unknown,,
Hueytown High School,High School,1980,10/31/1980,Unknown,Hueytown,Alabama,,Unknown,Unknown,Unknown,Unknown,,
Eastern Hills High School,High School,1980,11/17/1980,12:00 PM,Fort Worth,Texas,,Unknown,Unknown,Unknown,Unknown,,
Longfellow Junior HIgh School,Middle School,1980,12/12/1980,9:00 AM,Lorain,Ohio,,Unknown,Unknown,Unknown,Unknown,,
Parker High School,High School,1980,12/12/1980,3:00 PM,Birmingham,Alabama,,Unknown,Unknown,Unknown,Unknown,,
Willetts Middle School,Middle School,1981,01/21/1981,9:30 AM,Brunswick,Ohio,,Unknown,Unknown,Unknown,Unknown,,
Francis M. Wood Senior High School,High School,1981,01/22/1981,2:00 PM,Baltimore,Maryland,,Unknown,Unknown,Unknown,Unknown,,
Little Rock Hall High School,High School,1981,02/10/1981,Unknown,Little Rock,Arkansas,,Unknown,Unknown,Unknown,Unknown,,
Manuel Arts High School,High School,1981,02/10/1981,11:50 AM,Los Angeles,California,,Unknown,Unknown,Unknown,Unknown,,
Marshall High School ,High School,1981,03/03/1981,8:40 AM,Indianapolis,Indiana,,Unknown,Unknown,Unknown,Unknown,,
Dillard High School,High School,1981,03/28/1981,9:00 PM,Fort Lauderdale,Florida,,Unknown,Unknown,Unknown,Unknown,,
Alexander Hamilton Junior High School,Middle School,1981,04/02/1981,7:45 AM,Cleveland,Ohio,,Unknown,Unknown,Unknown,Unknown,,
Poplarville High School,High School,1981,04/07/1981,Unknown,Poplarville,Mississippi,,Unknown,Unknown,Unknown,Unknown,,
New Iberia Junior HIgh School,Middle School,1981,05/15/1981,8:00 AM,New Iberia,Louisiana,,Unknown,Unknown,Unknown,Unknown,,
William Longstreth Elementary School,Elementary School,1981,09/01/1981,8:30 PM,Philadelphia,Pennsylvania,,Unknown,Unknown,Unknown,Unknown,,
Hobbs High School,High School,1981,09/04/1981,10:15 AM,Santa Fe,New Mexico,,Unknown,Unknown,Unknown,Unknown,,
Stuart Middle School,Middle School,1981,09/08/1981,Unknown,West Palm Beach,Florida,,Unknown,Unknown,Unknown,Unknown,,
Aberdeen High School,High School,1981,09/13/1981,Unknown,Aberdeen,Maryland,,Unknown,Unknown,Unknown,Unknown,,
Hartford Public High School,High School,1981,10/13/1981,10:30 AM,Hartford,Connecticut,,Unknown,Unknown,Unknown,Unknown,,
George W. Wingate High School,High School,1981,12/09/1981,Unknown,Brooklyn,New York,,Unknown,Unknown,Unknown,Unknown,,
Unnamed school,High,1981,12/16/1981,7:45 AM,Houston,Texas,,Unknown,Unknown,Unknown,Unknown,,
James Madison High School,High School,1981,12/23/1981,10:00 AM,Brooklyn,New York,,Unknown,Unknown,Unknown,Unknown,,
Hamilton High School,High School,1982,02/05/1982,Unknown,Memphis,Tennessee,,Unknown,Unknown,Unknown,Unknown,,
Dorchester High School,High School,1982,02/08/1982,1:45 PM,Dorchester,Massachusetts,,Unknown,Unknown,Unknown,Unknown,,
John McDonough Senior High,High,1982,02/09/1982,1:10 PM,New Orleans,Louisiana,,Unknown,Unknown,Unknown,Unknown,,
Springfield High School,High School,1982,03/15/1982,8:30 AM,Springfield,Oregon,,Unknown,Unknown,Unknown,Unknown,,
Lorain High School,High School,1982,03/17/1982,Unknown,Lorain,Ohio,,Unknown,Unknown,Unknown,Unknown,,
Valley High School,High School,1982,03/19/1982,7:50 AM,Las Vegas,Nevada,,Unknown,Unknown,Unknown,Unknown,,
Deer Creek Junior High School,Middle School,1982,04/07/1982,Unknown,Littleton,Colorado,,Unknown,Unknown,Unknown,Unknown,,
Forest Park Senior High School,High School,1982,04/15/1982,2:15 PM,Baltimore,Maryland,,Unknown,Unknown,Unknown,Unknown,,
Russell High School,High School,1982,04/29/1982,10:30 AM,East Point,Georgia,,Unknown,Unknown,Unknown,Unknown,,
Anniston High School,High School,1982,04/30/1982,7:25 AM,Anniston,Florida,,Unknown,Unknown,Unknown,Unknown,,
Garside Junior High School,Middle School,1982,05/27/1982,Unknown,Las Vegas,Nevada,,Unknown,Unknown,Unknown,Unknown,,
Lake Braddock Secondary School,Other,1982,09/10/1982,1:45 PM,Burke,Virginia,,Unknown,Unknown,Unknown,Unknown,,
South West Middle School,Middle School,1982,09/15/1982,Unknown,Pine Bluff,Arkansas,,Unknown,Unknown,Unknown,Unknown,,
Elmont Memorial High School,High School,1982,11/01/1982,1:10 PM,Elmont,New York,,Unknown,Unknown,Unknown,Unknown,,
Cooley High School,High School,1982,11/08/1982,8:10 AM,Detroit,Michigan,,Unknown,Unknown,Unknown,Unknown,,
Wingfield High School,High School,1982,11/12/1982,Unknown,Jackson,Mississippi,,Unknown,Unknown,Unknown,Unknown,,
Huntsville High School,High School,1982,12/06/1982,11:45 AM,Huntsville,Alabama,,Unknown,Unknown,Unknown,Unknown,,
Finney High School,High School,1982,12/20/1982,8:55 AM,Detroit,Michigan,,Unknown,Unknown,Unknown,Unknown,,
John H. Reagan High School,High School,1983,01/18/1983,10:25 AM,Houston,Texas,,Unknown,Unknown,Unknown,Unknown,,
Parkway South Middle School,Middle School,1983,01/20/1983,11:50 AM,Baldwin,Missouri,,Unknown,Unknown,Unknown,Unknown,,
