School,Race,Killed,Injured,Victims,Longitude,Latitude,Year,City,State,Weapon,Weapon Source,Age,Gender_Shooter1,Shooter_Relationship1,Type,Date,Time,Bullied,Domestic_Violence,Gang_Related,Preplanned,Quarter,Location
Hueneme High School,H,0,0,0,-119.1822,34.160149,2001,Oxnard,California,Handgun,Unknown,17.0,M,Not A Student But Often Hung Around The School,High School,01/10/2001,12:50 PM,No,No,Yes,No,Winter,Parking Lot
Lake Clifton Eastern High School,Unknown,1,0,1,-76.590038,39.316116,2001,Baltimore,Maryland,.32-Caliber Handgun,Unknown,19.0,M,None,High School,01/17/2001,8:45 AM,No,No,No,No,Winter,Front of School
Lake Clifton Eastern High School,Unknown,1,0,1,-76.590038,39.316116,2001,Baltimore,Maryland,.32-Caliber Handgun,Unknown,19.0,M,None,High School,09/21/2001,1:00 PM,No,No,Yes,No,Fall,Cafeteria
Santana High School,W,2,13,15,-116.971045,32.85756,2001,Santee,California,.22-Caliber Revolver,Father,15.0,M,Student,High School,03/05/2001,9:20 AM,Yes,No,No,Yes,Spring,Bathroom
Granite Hills High School,Unknown,0,5,5,-116.916889,32.800101,2001,El Cajon,California,Mossberg Pump-Action 12-Gauge Shotgun,Unknown,18.0,M,Student,High School,03/22/2001,12:54 PM,No,No,No,No,Spring,Beside Building
Lew Wallace High School,Unknown,1,0,1,-87.34132,41.536645,2001,Gary,Indiana,Pistol,Unknown,17.0,M,Former Student (Expelled),High School,03/30/2001,8:15 AM,Yes,No,Yes,No,Spring,Parking Lot
Monroe City Alternative Center,Unknown,0,0,0,-92.070624,32.524187,2001,Monroe,Louisiana,.380 Caliber Semi-Automatic Pistol,Unknown,14.0,M,Student,High,04/20/2001,7:20 AM,No,No,No,Unknown,Spring,Hallway; Beside Building
Ennis High School,Unknown,0,0,0,-96.629758,32.305062,2001,Ennis,Texas,.357 Magnum Pistol,Unknown,16.0,M,Student,High School,05/15/2001,12:00 PM,No,No,No,No,Spring,Classroom
Belmont High School,Unknown,0,1,1,-118.263286,34.061499,2001,Los Angeles,California,Revolver,Unknown,Unknown,M,Unknown,High School,07/30/2001,7:25 AM,No,No,Unknown,No,Summer,Hallway
Latonia Elementary School,W,1,0,1,-84.49833,39.044149,2001,Covington,Kentucky,.380-Caliber Semiautomatic Pistol,Unknown,30.0,F,Parent Of Student,Elementary School,09/12/2001,3:00 PM,No,No,No,No,Fall,Parking Lot
