School,Race,Killed,Injured,Victims,Longitude,Latitude,Year,City,State,Weapon,Weapon Source,Age,Gender_Shooter1,Shooter_Relationship1,Type,Date,Time,Bullied,Domestic_Violence,Gang_Related,Preplanned,Quarter,Location
Deer Creek Middle School,W,0,2,2,-105.102,39.5869,2010,Littleton,Colorado,Hunting Rifle,Unknown,32.0,M,Unknown,Middle School,02/23/2010,15:14:00,Unknown,No,No,No,Winter,Front of School
Woodrow Wilson High School,B,0,0,0,-76.381349,36.815009,2010,Portsmouth,Virginia,Handgun,Unknown,15.0,M,Student,High School,04/28/2010,12:15 PM,Yes,No,No,No,Spring,Cafeteria
South Gate High School,Unknown,0,1,1,-118.209757,33.954604,2010,South Gate,California,Unknown,Unknown,15.0,M,Student,High School,05/18/2010,7:51 AM,Unknown,Unknown,Unknown,No,Spring,Beside Building
Sullivan Central High School,Unknown,1,0,1,-82.387049,36.531336,2010,Blountville,Tennessee,Handgun,Department Issued,Unknown,Unknown,Police Officer,High School,08/30/2010,9:16 AM,No,No,No,Unknown,Summer,Hallway
Socastee High School,W,0,1,1,-79.004328,33.6788,2010,Conway,South Carolina,Revolver,Parent,14.0,M,Student,High School,09/21/2010,2:00 PM,Yes,No,No,Yes,Fall,Office
Alisal High School,Unknown,1,0,1,-121.595961,36.686184,2010,Salinas,California,Unknown,Unknown,Unknown,M,Unknown,High School,10/01/2010,7:53 AM,Unknown,No,Yes,No,Fall,Beside Building
Kelly Elementary School,W,0,2,2,-117.311227,33.14836,2010,Carlsbad,California,.357-Caliber Magnum Revolver,Unknown,41.0,M,None,Elementary School,10/08/2010,12:00 PM,No,No,No,No,Fall,Playground
Marinette High School,W,0,0,0,-87.629512,45.084351,2010,Marinette,Wisconsin,Handgun,Unknown,15.0,M,Student,High School,11/29/2010,7:30 PM,No,No,No,No,Fall,Classroom
Millard South High School,B,1,2,3,-96.146049,41.203481,2011,Omaha,Nebraska,Glock .40-Caliber S&W Pistol,Father,17.0,M,Student,High School,01/05/2011,12:45 PM,No,No,No,No,Winter,Office
Louisiana Schnell Elementary School,W,1,0,1,-120.779419,38.735106,2011,Placerville,California,.357-Caliber Revolver,Legally Purchased By Shooter,44.0,M,Janitor,Elementary School,02/02/2011,10:37 AM,No,No,No,No,Winter,Office
Sheeler Charter High School,B,0,1,1,-81.494124,28.673157,2011,Apopka,Florida,Unknown,Unknown,17.0,M,Unknown,High School,04/13/2011,12:00 PM,No,No,No,No,Spring,Parking Lot
Cape Fear High School,Unknown,0,1,1,-78.762384,35.034044,2011,Fayetteville,North Carolina,.22-Caliber Daisy Rifle,Unknown,15.0,M,Student,High School,10/24/2011,1:00 PM,No,No,No,No,Fall,Beside Building
Cummings Middle School,Unknown,1,0,1,-97.493734,25.913899,2012,Brownsville,Texas,Unknown,Department Issued,Unknown,M,Police Officer,Middle School,01/04/2012,8:00 AM,Unknown,Unknown,Unknown,Unknown,Winter,Hallway
North Forest High School,Unknown,0,1,1,-95.26259,29.868788,2012,Houston,Texas,Handgun,Unknown,18.0,M,Student,High School,11/25/2008,9:45 PM,No,No,No,No,Fall,Beside Building
North Forest High School,Unknown,0,1,1,-95.26259,29.868788,2012,Houston,Texas,Handgun,Unknown,18.0,M,Student,High School,01/10/2012,12:30 PM,Unknown,No,No,No,Winter,Hallway
North Forest High School,Unknown,0,1,1,-95.26259,29.868788,2012,Houston,Texas,Handgun,Unknown,18.0,M,Student,High School,06/09/2021,10:20:00,No,No,No,No,Summer,Parking Lot
North Forest High School,Unknown,0,1,1,-95.259744,29.867029,2021,Houston,Texas,Unknown,Unknown,Unknown,Unknown,Unknown,High School,11/25/2008,9:45 PM,No,No,No,No,Fall,Beside Building
North Forest High School,Unknown,0,1,1,-95.259744,29.867029,2021,Houston,Texas,Unknown,Unknown,Unknown,Unknown,Unknown,High School,01/10/2012,12:30 PM,Unknown,No,No,No,Winter,Hallway
North Forest High School,Unknown,0,1,1,-95.259744,29.867029,2021,Houston,Texas,Unknown,Unknown,Unknown,Unknown,Unknown,High School,06/09/2021,10:20:00,No,No,No,No,Summer,Parking Lot
Walpole Elementary School,Unknown,0,0,0,-72.426439,43.078915,2012,Walpole,New Hampshire,20-Gauge Shotgun,Unknown,14.0,M,Student,Elementary School,02/10/2012,11:00 AM,Unknown,No,No,No,Winter,Cafeteria
Armin Jahr Elementary School,W,0,1,1,-122.63622,47.593761,2012,Bremerton,Washington,.45 Caliber Handgun,Mother,9.0,M,Student,Elementary School,02/22/2012,13:30:00,Yes,No,No,No,Winter,Hallway
Chardon High School,W,3,3,6,-81.199958,41.591297,2012,Chardon,Ohio,Ruger Mk Iii .22 Caliber Semi-Automatic Handgun,Uncle,17.0,M,"Student At Neighboring School, Rode Bus With Some Victims",High School,02/27/2012,7:30 AM,No,No,No,Yes,Winter,Cafeteria
Mary Scroggs Elementary School,Unknown,1,0,1,-79.068506,35.879122,2012,Chapel Hill,North Carolina,Charter Arms .44 Bulldog Revolver,Unknown,49.0,M,Parent Of Students,Elementary School,05/25/2012,2:04 PM,No,Yes,No,No,Spring,Parking Lot
Normal Community High School,W,0,0,0,-88.914486,40.533285,2012,Normal,Illinois,.22-Caliber Ruger Pistol,Unknown,14.0,M,Student,High School,09/07/2012,8:00 AM,Yes,No,No,Yes,Fall,Classroom
Sandy Hook Elementary School,W,26,2,28,-73.277751,41.41978,2012,Newtown,Connecticut,Bushmaster Xm15-E2S Rifle,Mother,20.0,M,Former Student,Elementary School,12/14/2012,9:35 AM,Unknown,No,No,Yes,Winter,Classroom
Taft Union High School,W,0,2,2,-119.460383,35.146256,2013,Taft,California,12-Gauge Shotgun,Older Brother,16.0,M,Student,High School,01/10/2013,9:00 AM,Yes,No,No,Yes,Winter,Hallway
Price Middle School,Unknown,0,1,1,-84.387442,33.708772,2013,Atlanta,Georgia,Small-Caliber Handgun,Unknown,15.0,M,Student,Middle School,01/31/2013,1:50 PM,No,No,Yes,No,Winter,Hallway
La Salle High School,Unknown,0,0,0,-84.586704,39.189162,2013,Cincinnati,Ohio,.45-Caliber Semi-Automatic Handgun,Family Member,17.0,M,Student,High School,04/29/2013,8:00 AM,Unknown,No,No,No,Spring,Classroom
Redland Middle School,Unknown,0,1,1,-80.453001,25.5369,2013,Homestead,Florida,.38 Caliber Handgun,Unknown,11.0,M,Student,Middle School,05/23/2013,2:40 PM,No,No,No,No,Spring,Classroom
Carver High School,B,0,1,1,-80.2066,36.1343,2013,Winston-Salem,North Carolina,.38 Caliber Handgun,Unknown,18.0,M,Student,High School,08/30/2013,2:25 PM,Yes,No,No,No,Summer,Beside Building
Agape Christian Academy,Unknown,0,2,2,-81.475051,28.57586,2013,Pine Hills,Florida,Unknown,Unknown,Unknown,Unknown,None,K-12,10/04/2013,2:00 PM,No,No,Yes,No,Fall,Football Field/Track
Lanier High School,H,0,0,0,-97.708,30.3606,2013,Austin,Texas,Handgun,Unknown,16.0,M,Student,High School,10/15/2013,12:04 PM,No,No,No,No,Fall,Courtyard
Sparks Middle School,H,1,2,3,-119.7694,39.5517,2013,Sparks,Nevada,Ruger Sr9C Semi-Automatic Handgun (9Mm),Father,12.0,M,Student,Middle School,10/21/2013,7:15 AM,Yes,No,No,Unknown,Fall,Beside Building
Newman Elementary School,Unknown,0,3,3,-117.7144,34.0271,2013,Chino,California,Ar-15,Police Weapon,8.0,M,Student,Elementary School,10/23/2013,11:14 AM,No,No,No,No,Fall,Front of School
West Orange High School,B,0,1,1,-81.5673,28.5428,2013,Winter Garden,Florida,Unknown,Unknown,17.0,M,Student,High School,12/12/1977,4:00 PM,No,No,No,No,Winter,Office
West Orange High School,B,0,1,1,-81.5673,28.5428,2013,Winter Garden,Florida,Unknown,Unknown,17.0,M,Student,High School,12/04/2013,1:15 PM,No,No,No,No,Winter,Beside Building
Arapahoe High School,W,1,0,1,-104.9628,39.5817,2013,Centennial,Colorado,Savage Arms Stevens Model 320 Pump-Action Shotgun,Legally Purchased By Shooter At Cabela'S,18.0,M,Student,High School,12/13/2013,00:00:00,Yes,No,No,Yes,Winter,Other
Liberty Technology Magnet High School,B,0,1,1,-88.7593,35.675,2014,Jackson,Tennessee,Handgun,Unknown,16.0,M,Student,High School,01/09/2014,2:21 PM,No,No,No,No,Winter,Parking Lot
Berrendo Middle School,W,0,3,3,-104.5115,33.4736,2014,Roswell,New Mexico,Shotgun,Unknown,12.0,M,Student,Middle School,01/14/2014,07:30:00,Yes,No,No,Yes,Winter,Gym
King Elementary School,Unknown,0,0,0,-76.2998,40.0344,2014,Lancaster,Pennsylvania,Handgun,Unknown,Unknown,Unknown,Unknown,Elementary School,01/14/2014,2:48 PM,Unknown,No,Unknown,No,Winter,Playground
Delaware Valley Charter School,B,0,2,2,-75.1446,40.0331,2014,Philadelphia,Pennsylvania,Handgun,Purchased From Friend,17.0,M,Student,High,01/17/2014,3:30 PM,No,No,No,No,Winter,Gym
Rebound High School,B,0,1,1,-89.227812,37.727439,2014,Carbondale,Illinois,Handgun,Unknown,18.0,M,Student,High School,01/27/2014,12:00 PM,Unknown,No,No,No,Winter,Parking Lot
President Theodore Roosevelt High,Unknown,0,1,1,-157.8372,21.3104,2014,Honolulu,Hawaii,Unknown,Department Issued,Unknown,Unknown,Police Officer,High,01/28/2014,8:30 AM,Unknown,Unknown,Unknown,Unknown,Winter,Office
Bend High School,Unknown,0,0,0,-121.2959,44.0523,2014,Bend,Oregon,Hunting Rifle,Legally Owned By Shooter,17.0,M,Student,High School,02/07/2014,12:00 PM,No,No,No,No,Winter,Classroom
Salisbury High School,B,0,1,1,-80.4849,35.6648,2014,Salisbury,North Carolina,9Mm Gun (Type Unknown),Unknown,17.0,M,Unknown,High School,02/10/2014,12:00 AM,No,No,No,No,Winter,Beside Building
Benjamin Banneker High School,Unknown,0,0,0,-84.5176,33.593,2014,College Park,Georgia,Unknown,Unknown,Unknown,Unknown,Unknown,High School,03/25/2014,1:00 PM,No,No,No,No,Spring,Parking Lot
Benjamin Banneker High School,Unknown,0,0,0,-84.5176,33.593,2014,College Park,Georgia,Unknown,Unknown,Unknown,Unknown,Unknown,High School,11/09/2017,3:25 PM,No,No,No,No,Fall,Classroom
Benjamin Banneker High School,Unknown,0,2,2,-84.5176,33.59297,2017,College Park,Georgia,Small-Caliber Handgun,Unknown,Unknown,Unknown,Unknown,High School,03/25/2014,1:00 PM,No,No,No,No,Spring,Parking Lot
Benjamin Banneker High School,Unknown,0,2,2,-84.5176,33.59297,2017,College Park,Georgia,Small-Caliber Handgun,Unknown,Unknown,Unknown,Unknown,High School,11/09/2017,3:25 PM,No,No,No,No,Fall,Classroom
Reynolds High School,W,1,1,2,-122.4026,45.5285,2014,Troutdale,Oregon,M4 Ar-15 Rifle,Brother,15.0,M,Student,High School,06/10/2014,8:07 AM,No,Unknown,No,Yes,Summer,Gym
Stellar Leadership Academy,Unknown,0,1,1,-80.243461,25.84814,2014,Miami,Florida,Unknown,Unknown,Unknown,Unknown,Unknown,High,09/09/2014,Unknown,No,No,No,No,Fall,Beside Building
Albemarle High School,Unknown,0,1,1,-80.193152,35.371268,2014,Albemarle,North Carolina,Handgun,Unknown,15.0,M,Student,High School,09/30/2014,7:40 AM,No,No,No,No,Fall,Courtyard
Marysville Pilchuck High School,N,4,1,5,-122.154021,48.09582,2014,Marysville,Washington,.40-Caliber Beretta Px4 Storm Handgun,Father,15.0,M,Student,High School,10/24/2014,10:39 AM,Yes,Yes,No,Yes,Fall,Cafeteria
North Thurston High School,Unknown,0,0,0,-122.83241,47.051956,2015,Lacey,Washington,.357 Magnum,Father,16.0,M,Student,High School,04/27/2015,7:24 AM,Yes,No,No,Yes,Spring,Hallway
Harrisburg High School,W,0,1,1,-96.6998,43.43212,2015,Harrisburg,South Dakota,Handgun,Unknown,16.0,M,Student,High School,09/30/2015,10:00:00,No,No,No,Yes,Fall,Office
Harrisburg High School,W,0,1,1,-96.6998,43.43212,2015,Harrisburg,South Dakota,Handgun,Unknown,16.0,M,Student,High School,09/07/2021,03:00:00,No,No,No,No,Fall,Parking Lot
Karen Wagner High School,B,0,0,0,-98.3578,29.45738,2015,San Antonio,Texas,Unknown,Unknown,22.0,F,Friend Of Student,High School,10/15/2015,9:00 AM,No,No,No,No,Fall,Parking Lot
Vereen School,Unknown,0,0,0,-83.804368,31.175943,2015,Moultrie,Georgia,Semiautomatic Pistol,Department Issued,Unknown,M,Student,Other,11/05/2015,Unknown,No,No,No,No,Fall,Classroom
Benjamin Franklin High School,Unknown,0,0,0,-75.162,39.96367,2016,Philadelphia,Pennsylvania,.45-Caliber Handgun,Unknown,16.0,M,Unknown,High School,01/29/2016,12:00 PM,No,No,No,No,Winter,Hallway
Independence High School,Unknown,1,0,1,-112.221,33.53216,2016,Glendale,Arizona,9Mm Beretta Pistol,"Classmate, Who Took From Parents",15.0,F,Student,High School,02/12/2016,7:53 AM,No,Yes,No,No,Winter,Courtyard
Madison High School,W,0,4,4,-84.4433,39.53385,2016,Middletown,Ohio,Sig Sauer P238,Family Home,14.0,M,Student,High School,02/29/2016,11:15 AM,No,No,No,Yes,Winter,Cafeteria
Huffman High School,B,0,1,1,-86.682,33.61291,2016,Birmingham,Alabama,Unknown,Unknown,19.0,M,Brother Of Student,High School,08/03/2004,8:45 AM,No,No,No,No,Summer,Parking Lot
Huffman High School,B,0,1,1,-86.682,33.61291,2016,Birmingham,Alabama,Unknown,Unknown,19.0,M,Brother Of Student,High School,03/15/2016,2:30 PM,No,No,No,No,Spring,Parking Lot
Huffman High School,B,0,1,1,-86.682,33.61291,2016,Birmingham,Alabama,Unknown,Unknown,19.0,M,Brother Of Student,High School,03/07/2018,3:45 PM,No,No,No,No,Spring,Inside School Building
Huffman High School,B,1,0,1,-86.682,33.61291,2018,Birmingham,Alabama,Pistol,Unknown,17.0,M,Student,High School,08/03/2004,8:45 AM,No,No,No,No,Summer,Parking Lot
Huffman High School,B,1,0,1,-86.682,33.61291,2018,Birmingham,Alabama,Pistol,Unknown,17.0,M,Student,High School,03/15/2016,2:30 PM,No,No,No,No,Spring,Parking Lot
Huffman High School,B,1,0,1,-86.682,33.61291,2018,Birmingham,Alabama,Pistol,Unknown,17.0,M,Student,High School,03/07/2018,3:45 PM,No,No,No,No,Spring,Inside School Building
Alpine High School,Unknown,0,1,1,-103.665798,30.371983,2016,Alpine,Texas,9-Mm. Semi-Automatic Handgun,Unknown,14.0,F,Student,High School,09/08/2016,9:00 AM,No,Yes,No,No,Fall,Bathroom
Townville Elementary School,W,1,2,3,-82.903471,34.56311,2016,Townville,South Carolina,.40 Caliber Pistol,Father,14.0,M,Former Student,Elementary School,09/28/2016,1:45 PM,Yes,No,No,Yes,Fall,Playground
Union Middle School,Unknown,0,1,1,-111.873061,40.60715,2016,Sandy,Utah,Unknown,Mother,14.0,M,Student,Middle School,10/25/2016,3:00 PM,No,No,No,No,Fall,Beside Building
Bay City Western High School,W,0,1,1,-84.0783,43.60478,2016,Auburn,Michigan,.380-Caliber Sig Sauer Pistol,Legally Purchased By Shooter,50.0,M,Resource Officer,High School,11/11/2016,12:30 PM,No,No,No,No,Fall,Office
Scotlandville Magnet High School,Unknown,0,0,0,-91.177851,30.53365,2017,Baton Rouge,Louisiana,Handgun,Unknown,14.0,M,Student,High School,02/06/2017,12:00 PM,Unknown,Unknown,No,No,Winter,Outside on School Property
Robert E. Lee High School,M,0,1,1,-86.271649,32.378702,2017,Montgomery,Alabama,.40-Caliber Handgun,Unknown,16.0,M,Student,High School,11/24/1992,Unknown,No,No,No,No,Fall,Bathroom
Robert E. Lee High School,M,0,1,1,-86.271649,32.378702,2017,Montgomery,Alabama,.40-Caliber Handgun,Unknown,16.0,M,Student,High School,03/16/2017,15:00:00,Unknown,No,No,No,Spring,Parking Lot
Robert E. Lee High School,M,0,1,1,-86.271649,32.378702,2017,Montgomery,Alabama,.40-Caliber Handgun,Unknown,16.0,M,Student,High School,02/26/2019,11:00:00,Unknown,No,Unknown,No,Winter,Gym
Robert E. Lee High School,B,0,1,1,-86.271649,32.378702,2019,Montgomery,Alabama,.40-Caliber Handgun,Stolen From Neighbor,16.0,M,Student,High School,11/24/1992,Unknown,No,No,No,No,Fall,Bathroom
Robert E. Lee High School,B,0,1,1,-86.271649,32.378702,2019,Montgomery,Alabama,.40-Caliber Handgun,Stolen From Neighbor,16.0,M,Student,High School,03/16/2017,15:00:00,Unknown,No,No,No,Spring,Parking Lot
Robert E. Lee High School,B,0,1,1,-86.271649,32.378702,2019,Montgomery,Alabama,.40-Caliber Handgun,Stolen From Neighbor,16.0,M,Student,High School,02/26/2019,11:00:00,Unknown,No,Unknown,No,Winter,Gym
North Park Elementary School,B,2,1,3,-117.301804,34.179206,2017,San Bernardino,California,Smith & Wesson .357 Magnum Revolver,Unknown,53.0,M,Husband Of Teacher,Elementary School,04/10/2017,10:30 AM,No,Yes,No,No,Spring,Classroom
Moss Bluff Elementary School,W,0,1,1,-93.2032,30.29966,2017,Lake Charles,Louisiana,.380 Caliber Semi-Automatic Handgun,"Father'S Gun, Kept By 17 Year Old Who Shared Room With Shooter",7.0,M,Student,Elementary School,05/15/2017,7:50 AM,No,No,No,No,Spring,Inside School Building
Greensboro High School,Unknown,0,0,0,-87.589,32.70713,2017,Greensboro,Alabama,.22 Caliber Revolver,Unknown,Unknown,M,Student,High School,05/24/2017,11:30 AM,Unknown,Unknown,No,No,Spring,Front of School
Warren Elementary School,B,0,2,2,-87.575184,41.726922,2017,Chicago,Illinois,Unknown,Unknown,Unknown,M,Unknown,Elementary School,06/16/2017,1:51 PM,No,No,Yes,No,Summer,Field (General)
Columbus Scioto 6-12,B,0,0,0,-82.9958,39.90163,2017,Columbus,Ohio,.38-Caliber Handgun,Unknown,18.0,M,Unknown,6-12,09/08/2017,8:33 AM,Unknown,Unknown,No,No,Fall,Hallway
Freeman High School,W,1,3,4,-117.19638,47.519667,2017,Rockford,Washington,"Ar-15, Pistol",Father,15.0,M,Student,High School,09/13/2017,10:00:00,Yes,No,No,Yes,Fall,Hallway
Mattoon High School,W,0,1,1,-88.386955,39.474405,2017,Mattoon,Illinois,.40-Caliber Ruger Semiautomatic Pistol,Stepfather,14.0,M,Student,High School,09/20/2017,11:30:00,Yes,Yes,No,Yes,Fall,Cafeteria
Pattengill Academy,B,0,1,1,-84.5243,42.73889,2017,Lansing,Michigan,Handgun,Puchased Legally By Shooter From Dicker & Deal,21.0,M,Unknown,Middle,11/03/2017,4:30 PM,No,No,Unknown,No,Fall,Parking Lot
Aztec High School,W,2,0,2,-107.990379,36.820644,2017,Aztec,New Mexico,9Mm Glock,Legally Purchased By Shooter,21.0,M,Former Student,High School,12/07/2017,08:04:00,Unknown,No,No,Yes,Winter,Classroom
High Point Central High School,B,0,0,0,-80.0231,35.95795,2017,High Point,North Carolina,Handgun,Unknown,15.0,M,Unknown,High School,12/11/2017,2:08 PM,No,No,Yes,No,Winter,Cafeteria
Italy High School,W,0,1,1,-96.878968,32.181129,2018,Italy,Texas,Semi-Automatic .380 Caliber Handgun,Unknown,16.0,M,Student,High School,01/22/2018,7:53 AM,No,Yes,No,Yes,Winter,Cafeteria
Marshall County High School,W,2,14,16,-88.332917,36.912835,2018,Benton,Kentucky,Handgun,Stepfather'S Bedroom,15.0,M,Student,High School,01/23/2018,7:57 AM,Unknown,No,No,Yes,Winter,Hallway
Murphy High School,B,0,0,0,-88.0867,30.6828,2018,Mobile,Alabama,Revolver,Stolen,16.0,M,Student,High School,01/25/2018,11:20 AM,Unknown,No,No,No,Winter,Beside Building
Salvador B. Castro Middle School,Unknown,0,5,5,-118.265,34.06169,2018,Los Angeles,California,Semi-Automatic Handgun,Unknown,12.0,F,Student,Middle School,02/01/2018,8:55 AM,Yes,No,No,No,Winter,Classroom
Marjory Stoneman Douglas High School,W,17,17,34,-80.269365,26.304483,2018,Parkland,Florida,Smith & Wesson M&P15,Legally Purchased By Shooter,19.0,M,Former Student (Expelled),High School,02/14/2018,2:21 PM,No,No,No,Yes,Winter,Hallway
Dalton High School,W,0,0,0,-84.99053,34.77972,2018,Dalton,Georgia,.38-Caliber Snub-Nosed Revolver,Unknown,53.0,M,Teacher,High School,02/28/2018,11:30 AM,No,No,No,No,Winter,Classroom
Seaside High School,W,0,3,3,-121.838,36.62444,2018,Seaside,California,Glock 21 .45-Caliber Handgun,Department Issued,Unknown,M,Teacher,High School,03/13/2018,1:20 PM,No,No,No,No,Spring,Classroom
Big Sky High School,Unknown,0,0,0,-114.057737,46.850867,2018,Missoula,Montana,Pistol,Department Issued,Unknown,M,Resource Officer,High School,03/16/2018,12:45 PM,Unknown,Unknown,Unknown,Unknown,Spring,Parking Lot
Douglass Park Elementary School,Unknown,0,1,1,-76.3393,36.81828,2018,Portsmouth,Virginia,Unknown,Unknown,Unknown,Unknown,Unknown,Elementary School,03/19/2018,4:23 PM,No,No,No,No,Spring,Parking Lot
Great Mills High School,W,1,1,2,-76.4875,38.24743,2018,Great Mills,Maryland,Glock Semi-Automatic Handgun,Father,17.0,M,Student,High School,03/20/2018,7:55 AM,No,Yes,No,No,Spring,Hallway
Jackson High School,Unknown,0,0,0,-84.4185,42.2499,2018,Jackson,Michigan,Handgun,Unknown,Unknown,Unknown,Unknown,High School,04/19/2018,1:44 PM,No,No,Unknown,No,Spring,Off School Property
Forest High School,Unknown,0,1,1,-82.066682,29.14362,2018,Ocala,Florida,Shotgun,Unknown,19.0,M,Former Student,High School,04/20/2018,08:39:00,No,No,No,Yes,Spring,Classroom
Highland High School,H,0,1,1,-106.592413,35.074841,2018,Albuquerque,New Mexico,Handgun,Owner'S Gun,Unknown,M,Father Of Student,High School,04/25/2018,14:30:00,No,No,No,No,Spring,Front of School
Highland High School,Unknown,0,1,1,-118.175561,34.591755,2018,Palmdale,California,Rifle,Unknown,14.0,M,Student,High School,05/11/2018,7:05 AM,Unknown,No,No,No,Spring,Bathroom
Dixon High School,W,0,0,0,-89.488508,41.847128,2018,Dixon,Illinois,Rifle,Mother,19.0,M,Student,High School,05/16/2018,8:00 AM,Yes,No,No,Unknown,Spring,Gym
Santa Fe High School,W,10,13,23,-95.143149,29.393257,2018,Santa Fe,Texas,Remington 870 Shotgun And A .38-Caliber Revolver,Unknown,17.0,M,Student,High School,05/18/2018,7:45 AM,Yes,No,No,Yes,Spring,Classroom
Noblesville West Middle School,Unknown,0,2,2,-86.029001,40.07825,2018,Noblesville,Indiana,".22 Caliber Gun, .45 Caliber Gun",Unknown,13.0,M,Student,Middle School,05/25/2018,9:00 AM,No,No,No,No,Spring,Classroom
Villa Heights Elementary School,B,0,0,0,-80.812768,35.236843,2018,Charlotte,North Carolina,.45 Caliber Pistol,Stolen,34.0,M,Former Boyfriend Of Student'S Mother,Elementary School,08/30/2018,8:30 AM,No,Yes,No,No,Summer,Parking Lot
Lawrence Orr Elementary School,B,0,0,0,-80.743914,35.225991,2018,Charlotte,North Carolina,Unknown,Unknown,24.0,M,Unknown,Elementary School,09/24/2018,9:00 AM,No,Unknown,Unknown,No,Fall,Parking Lot
Denali Montessori Elementary School,B,0,1,1,-149.881113,61.213281,2018,Anchorage,Alaska,Sig Sauer .40 Caliber Handgun,Unknown,26.0,M,Boyfriend Of Parent,Elementary School,10/03/2018,10:00:00,No,Yes,No,No,Fall,Front of School
Battle Creek Academy,Unknown,0,0,0,-85.207497,42.33419,2018,Battle Creek,Michigan,Unknown,Unknown,Unknown,Unknown,Unknown,Elementary,10/12/2018,1:00 PM,No,No,Unknown,No,Fall,Off School Property
Butler High School,B,1,0,1,-80.6916,35.1203,2018,Matthews,North Carolina,.380 Pistol,Stolen,16.0,M,Student,High School,10/29/2018,07:15:00,Yes,No,No,No,Fall,Hallway
Simonsdale Elementary School,B,0,1,1,-76.36628,36.82682,2018,Portsmouth,Virginia,Handgun,Unknown,29.0,M,Parent Of Student,Elementary School,11/20/2018,4:00 PM,No,No,No,No,Fall,Hallway
Dennis Intermediate School,Unknown,0,0,0,-84.9114,39.832,2018,Richmond,Indiana,Handgun And A Rifle,Unknown,14.0,M,Student,Middle,12/13/2018,8:00 AM,Yes,No,No,Yes,Winter,Hallway
Cascade Middle School,Unknown,0,0,0,-123.1667,44.0788,2019,Eugene,Oregon,Handgun,Unknown,30.0,M,Father Of Student,Middle School,01/11/2019,10:27 AM,No,No,No,No,Winter,Front of School
Frederick Douglass High School,Unknown,0,1,1,-76.6549,39.3148,2019,Baltimore,Maryland,Smith And Wesson .40 Caliber Gun,Unknown,25.0,M,Brother Of Student,High School,10/29/1971,3:00 PM,No,No,No,No,Fall,Parking Lot
Frederick Douglass High School,Unknown,0,1,1,-76.6549,39.3148,2019,Baltimore,Maryland,Smith And Wesson .40 Caliber Gun,Unknown,25.0,M,Brother Of Student,High School,02/08/2019,1:15 PM,No,No,No,No,Winter,Entryway
V. Sue Cleveland High School,Unknown,0,0,0,-106.641929,35.312773,2019,Rio Rancho,New Mexico,.45 Caliber Handgun,Unknown,16.0,M,Student,High School,02/14/2019,7:00 AM,Unknown,Yes,Unknown,Yes,Winter,Hallway
Highlands Elementary School,W,0,0,0,-94.6409,39.0168,2019,Mission,Kansas,Handgun,Unknown,26.0,M,Neighbor Of School,Elementary School,03/01/2019,13:30:00,No,No,No,No,Spring,Off School Property
Blountsville Elementary School,W,0,1,1,-86.586,34.0847,2019,Blountsville,Alabama,Taurus .380 Pistol,Legally Purchased By Shooter,72.0,M,Substitute Teacher,Elementary School,03/22/2019,11:30 AM,No,No,No,No,Spring,Classroom
Saint Clair Evans Academy,Unknown,0,0,0,-81.695138,30.371086,2019,Jacksonville,Florida,Unknown,Unknown,Unknown,Unknown,Unknown,Elementary,04/03/2019,11:00 AM,No,No,Unknown,No,Spring,Off School Property
Menta Academy North,H,0,0,0,-87.83950925,42.35333175,2019,Waukegan,Illinois,2 Handguns,Unknown,27.0,M,Unknown,Other,06/10/2019,1:45 PM,No,No,No,No,Summer,Front of School
Hendley Elementary School,Unknown,0,0,0,-76.999555,38.828872,2019,Washington,District Of Columbia,Unknown,Unknown,Unknown,Unknown,Unknown,Elementary School,05/30/2019,10:40 PM,No,No,Yes,No,Spring,Front of School
Hendley Elementary School,Unknown,0,0,0,-76.999555,38.828872,2019,Washington,District Of Columbia,Unknown,Unknown,Unknown,Unknown,Unknown,Elementary School,06/12/2019,4:20 PM,No,No,Yes,No,Summer,Front of School
Blount Elementary School,B,0,0,0,-86.1324,32.3106,2019,Montgomery,Alabama,Pistol,Unknown,38.0,M,Father Of Student,Elementary School,08/08/2019,7:30 AM,No,No,No,No,Summer,Parking Lot
Hollenbeck Middle School,Unknown,0,1,1,-118.212583,34.036765,2019,Los Angeles,California,Unknown,Unknown,Unknown,Unknown,Unknown,Middle School,08/27/2019,11:00 AM,No,No,Unknown,No,Summer,Cafeteria
South Aiken High School,Unknown,0,0,0,-81.71303,33.521766,2019,Aiken,South Carolina,Unknown,Unknown,Unknown,Unknown,Unknown,High School,01/27/2017,21:00:00,No,No,Yes,No,Winter,Beside Building
South Aiken High School,Unknown,0,0,0,-81.71303,33.521766,2019,Aiken,South Carolina,Unknown,Unknown,Unknown,Unknown,Unknown,High School,09/10/2019,3:30 PM,No,No,No,No,Fall,Parking Lot
Ridgway High School,Unknown,0,1,1,-122.7226,38.4497,2019,Santa Rosa,California,Unknown,Unknown,17.0,Unknown,Student,High School,10/22/2019,08:56:00,No,No,Yes,No,Fall,Beside Building
Achievement Academy,Unknown,0,1,1,-76.571382,39.366066,2019,Baltimore,Maryland,Unknown,Unknown,Unknown,Unknown,Unknown,High,11/11/2019,2:00 PM,No,No,No,No,Fall,Parking Lot
