School,Type,Date,City,State,Time
Whitharral High School,High,1977-04-07,Whitharral,TX,9:00 AM
Pioneer Christian Academy,Other,1977-04-18,Nashville,TN,9:00 AM
Stone Middle School,Middle,1977-05-17,Cocoa,FL,8:15 PM
Holy Trinity High School,High,1977-06-22,Chicago,IL,
South Junior High School,Junior High,1977-07-11,Colorado Springs,CO,
Hazelwood Central Senior High School,High,1977-11-29,St. Louis,MO,7:05 PM
Vashon High School,High,1977-11-29,St. Louis,MO,
Petaluma McNear Elementary,Elementary,1977-12-09,Santa Rosa,CA,
West Orange High School,High,1977-12-12,Winter Garden,FL,4:00 PM
Blue Hills Vocational High School,High,1977-12-15,Canton,MA,
Christian County Middle School,Middle,1978-01-11,Hopkinsville,KY,8:10 AM
Hayes Junior High School,Junior High,1978-02-09,St. Albans,WV,8:00 AM
Everett High School,High,1978-02-22,Lansing,MI,3:00 PM
Monroe Elementary School,Elementary,1978-03-09,Santa Rosa,CA,
Gallatin Junior High School,Junior High,1978-03-29,Nashville,TN,
Fordson High School,High,1978-04-14,Detroit,MI,1:30 PM
Paul Dunbar Elementary School,Elementary,1978-04-26,Dallas,TX,
Ridgewood High School,High,1978-04-28,Norridge,IL,10:30 PM
Murchison Junior High School,Junior High,1978-05-18,Austin,TX,9:00 AM
Downtown Junior High School,Junior High,1978-05-19,Philadelphia,PA,
Dover Air High,High,1978-06-07,Dover,DE,
Weymouth South High School,High,1978-06-10,Weymouth,MA,
Lanett Junior High School,Junior High,1978-10-17,Lanett,AL,
University City High School,High,1978-10-17,University City,MO,10:15 AM
Park West High School,High,1978-11-29,New York,NY,12:30 PM
Wilbur Cross High School,High,1978-12-14,New Haven,CT,
Grover Cleveland Elementary School,Elementary,1979-01-29,San Diego,CA,8:30 AM
Barstow High School,High,1979-02-26,Barstow,CA,
Barstow High School,High,1979-02-26,Barstow,CA,
McArthur High School North,High,1979-03-14,Miami,FL,2:20 PM
Los Angeles High School,High,1979-03-28,Los Angeles,CA,2:20 PM
Wisconsin Lutheran High School,High,1979-04-16,Milwaukee,WI,
Martin L. Mattei Junior High School,Junior High,1979-04-25,Hughestown,PA,
Azle Junior High School,High,1979-04-26,Azle,TX,3:30 PM
New Carlisle Elementary School,Elementary,1979-06-14,New Carlisle,OH,
Carter G. Woodson Middle School,Middle,1979-09-26,New Orleans,LA,11:50 AM
Charlestown High School,High,1979-09-28,Charlestown,MA,
O Fallen Technical High School,High,1979-10-23,St. Louis,MO,
Washington High School,High,1979-11-05,Indianapolis,IN,
Unknown School,,1979-11-30,Lewisville,TX,
Eastern High School,High,1979-12-03,Baltimore,MD,
Blewett Middle School,Middle,1979-12-21,St. Louis,MO,
Stamps High School,High,1980-01-07,Stamps,AR,9:02 AM
Lafayette High School,High,1980-01-29,Williamsburg,VA,8:05 AM
Langdon Elementary School,Elementary,1980-02-01,"Washington, DC",DC,9:00 AM
Valley View Elementary School,Elementary,1980-02-07,Longview,TX,10:30 AM
Arsenal Technical High School,High,1980-02-11,Indianapolis,IN,12:50 PM
Hughes School,Other,1980-02-15,McComb,MS,1:40 PM
J Leslie Patton School,High,1980-03-20,Dallas,TX,3:33 PM
Frederick Douglass Senior High School,High,1980-03-31,Baltimore,MD,9:00 AM
Capeville Elementary School,Elementary,1980-04-17,Capeville,VA,10:15 AM
Clara Barton High School,High,1980-05-30,Brooklyn,NY,9:30 AM
Whittier High School,High,1980-09-02,Los Angeles,CA,
Forrest High School,High,1980-09-08,Jacksonville,FL,
Springarn High School,High,1980-09-10,Washington,DC,10:30 AM
John S. Shaw High School,High,1980-09-11,Mobile,AL,
Bridgeport Central High School,High,1980-09-26,Bridgeport,CT,8:55 AM
Central High School,High,1980-10-13,Tuscaloosa,AL,
Hueytown High School,High,1980-10-31,Hueytown,AL,
Eastern Hills High School,High,1980-11-17,Fort Worth,TX,12:00 PM
Longfellow Junior HIgh School,Junior High,1980-12-12,Lorain,OH,9:00 AM
Parker High School,High,1980-12-12,Birmingham,AL,3:00 PM
Willetts Middle School,Junior High,1981-01-21,Brunswick,OH,9:30 AM
Francis M. Wood Senior High School,High,1981-01-22,Baltimore,MD,2:00 PM
Little Rock Hall High School,High,1981-02-10,Little Rock,AR,
Manuel Arts High School,High,1981-02-10,Los Angeles,CA,11:50 AM
Marshall High School ,High,1981-03-03,Indianapolis,IN,8:40 AM
Dillard High School,High,1981-03-28,Fort Lauderdale,FL,9:00 PM
Alexander Hamilton Junior High School,Junior High,1981-04-02,Cleveland,OH,7:45 AM
Poplarville High School,High,1981-04-07,Poplarville,MS,
New Iberia Junior HIgh School,Junior High,1981-05-15,New Iberia,LA,8:00 AM
William Longstreth Elementary School,Elementary,1981-09-01,Philadelphia,PA,8:30 PM
Hobbs High School,High,1981-09-04,Santa Fe,NM,10:15 AM
Stuart Middle School,Middle,1981-09-08,West Palm Beach,FL,
Aberdeen High School,High,1981-09-13,Aberdeen,MD,
Hartford Public High School,High,1981-10-13,Hartford,CT,10:30 AM
George W. Wingate High School,High,1981-12-09,Brooklyn,NY,
Unnamed school,High,1981-12-16,Houston,TX,7:45 AM
James Madison High School,High,1981-12-23,Brooklyn,NY,10:00 AM
Hamilton High School,High,1982-02-05,Memphis,TN,
Dorchester High School,High,1982-02-08,Dorchester,MA,1:45 PM
John McDonough Senior High,High,1982-02-09,New Orleans,LA,1:10 PM
Springfield High School,High,1982-03-15,Springfield,OR,8:30 AM
Lorain High School,High,1982-03-17,Lorain,OH,
Valley High School,High,1982-03-19,Las Vegas,NV,7:50 AM
Deer Creek Junior High School,High,1982-04-07,Littleton,CO,
Forest Park Senior High School,High,1982-04-15,Baltimore,MD,2:15 PM
Russell High School,High,1982-04-29,East Point,GA,10:30 AM
Anniston High School,High,1982-04-30,Anniston,FL,7:25 AM
Garside Junior High School,Junior High,1982-05-27,Las Vegas,NV,
Lake Braddock Secondary School,Other,1982-09-10,Burke,VA,1:45 PM
South West Middle School,Middle,1982-09-15,Pine Bluff,AR,
Elmont Memorial High School,High,1982-11-01,Elmont,NY,1:10 PM
Cooley High School,High,1982-11-08,Detroit,MI,8:10 AM
Wingfield High School,High,1982-11-12,Jackson,MS,
Huntsville High School,High,1982-12-06,Huntsville,AL,11:45 AM
Finney High School,High,1982-12-20,Detroit,MI,8:55 AM
John H. Reagan High School,High,1983-01-18,Houston,TX,10:25 AM
Parkway South Middle School,Middle,1983-01-20,Baldwin,MO,11:50 AM
William H. Lemmel Middle School,Middle,1983-01-28,Baltimore,MD,
West Ward School,High,1983-01-30,Coleman,TX,11:40 AM
DeLand High School,High,1983-01-31,DeLand,FL,
Riverdale High School,High,1983-02-01,Murfreesboro,TN,
Albuquerque High School,High,1983-02-02,Alburquerque,NM,
Santa Maria InCornata-Santa Lucia School,Other,1983-03-31,Chicago,IL,
Beaumont High School,High,1983-04-21,St. Louis,MO,11:00 AM
Brentwood High School,High,1983-05-16,New York,NY,12:45 PM
Lake Highland High School,High,1983-05-16,Dallas,TX,
North Miami Senior High School,High,1983-05-18,Miami,FL,2:30 PM
Mansfield Senior High School,High,1983-05-23,Mansfield,OH,8:05 AM
Greater Johnstown High School,High,1983-05-26,Johnstown,PA,
Henry Ford High School,High,1983-09-12,Detroit,MI,8:45 AM
Manuel Dominguez High School,High,1983-09-12,Compton,CA,
Walbrook High School,High,1983-09-21,Baltimore,MD,11:00 AM
Temple High School,High,1983-09-30,Temple,TX,
Compton High School,High,1983-10-07,Los Angeles,CA,
Carver Vocational-Technical Senior High,High,1983-10-22,Baltimore,MD,11:00 PM
Highland Park High School,High,1983-11-08,Highland Park,MI,7:50 AM
James G. Blaine Elementary School,Elementary,1983-11-17,Chicago,IL,
Harlem Park Junior High School,Junior High,1983-11-18,Baltimore,MD,1:25 PM
Crawfordsville High School,High,1983-12-02,Crawfordsville,IN,11:50 AM
Boylan Central Catholic High School,High,1983-12-16,Rockford,IL,
Lake Clifton Senior HIgh School,High,1984-01-05,Baltimore,MD,3:30 PM
Central High School,High,1984-02-06,Louisville,KY,
Sharpstown High School,High,1984-02-21,Houston,TX,
49th Street Elementary School,Elementary,1984-02-24,Los Angeles,CA,2:23 PM
Clinton High School,High,1984-04-05,Clinton,LA,
Precious Blood School,K-12,1984-04-20,Detroit,MI,
Rose Hill Magnolia Elementary School,Elementary,1984-04-26,Wallace,NC,
C M Russell High School,High,1984-05-15,Great Falls,MT,2:30 PM
Booker T. Washington High School,High,1984-05-17,Houston,TX,10:45 AM
Southeast Polk High School,High,1984-05-17,Pleasant Hill,IA,10:45 AM
Norco High School,High,1984-05-18,Norco,CA,10:00 AM
Cleveland Heights High School,High,1984-05-22,Cleveland Heights,OH,
Mumford High School,High,1984-07-10,Detroit,MI,11:15 AM
Booker T. Washington High School,High,1984-08-31,Shreveport,LA,
Millsap Elementary School,Elementary,1984-09-28,Houston,TX,8:40 AM
Richland High School,High,1984-09-28,North Richland Hills,TX,
Wyoming Area High School,High,1984-10-21,Exeter,PA,
Central High School,High,1984-10-22,Detroit,MI,1:25 PM
Southeastern High School,High,1984-10-24,Detroit,MI,11:20 AM
West Elementary School Bus,Elementary,1984-10-24,Celina,OH,
Pendleton High School,High,1984-10-30,Pendleton,SC,12:45 PM
East Ascension High School,High,1984-10-31,Gonzales,LA,8:30 AM
Wilbur Cross High School,High,1984-11-09,New Haven,CT,9:00 AM
Millford Mill High School,High,1984-11-26,Rockdale,MD,12:45 PM
Edwardsville High School,High,1984-12-07,St. Louis,MO,7:00 AM
Arlington High School,High,1985-01-18,Arlington,TX,
Goddard Junior High School,Junior High,1985-01-21,Goddard,KS,11:05 AM
St. Gregory's High School,High,1985-01-26,Boston,MA,11:00 PM
A I Prince Technical High School,High,1985-02-05,Hartford,CT,2:30 PM
MacArthur Senior High School,High,1985-04-16,Aldine,TX,
South Pittsburg High School,High,1985-04-18,South Pittsburg,TN,
Parrott Junior High School,Junior High,1985-05-16,Brookville,FL,8:00 AM
Highland Park High School,High,1985-07-24,Highland Park,TX,9:30 AM
East End Middle School (bus),Middle,1985-09-04,Richmond,VA,
Wheatley High School,High,1985-09-09,Houston,TX,
Langham Creek High School,High,1985-09-20,Cypress,TX,12:20 PM
Trotwood-Madison Senior High,High,1985-09-25,Trotwood,OH,2:30 PM
Lake Clifton High School,High,1985-10-08,Baltimore,MD,3:00 PM
Murray-Wright High School,High,1985-10-18,Detroit,MI,
Southern Hills Joint Vocational High School,High,1985-10-22,Georgetown,OH,
Spanaway Junior High School,Junior High,1985-11-26,Spanaway,WA,4:20 PM
Chelsea School,High,1985-11-27,Birmingham,AL,3:00 PM
Concord High School,High,1985-12-03,Concord,NH,8:05 AM
Archbishop Ryan High School,High,1985-12-09,Philadelphia,PA,
Portland Junior High School,Junior High,1985-12-10,Portland,CT,12:30 PM
Northern High School,High,1986-01-09,Durham,NC,4:00 PM
Vanguard Junior High School,Junior High,1986-01-17,Los Angeles,CA,
Lake Clifton High School,High,1986-01-29,Baltimore,MD,
Boyet Junior High School,Junior High,1986-02-24,Slidell,LA,
Thornridge High School,High,1986-03-06,Dolton,IL,
Charles Drew Middle School,Middle,1986-04-23,Miami,FL,8:30 AM
Senath-Hornersville High School,High,1986-04-29,Senath,MO,
Pine Forest High School,High,1986-05-09,Fayetteville,NC,9:30 AM
Carver High School,High,1986-05-15,Atlanta,GA,
Cokeville Elementary School,Elementary,1986-05-16,Cokeville,WY,1:30 PM
Maplewood High School,High,1986-05-17,Nashville,TN,7:00 AM
Fairfax High School,High,1986-09-12,Los Angeles,CA,2:15 PM
Benicia High School ,High,1986-09-18,Benicia,CA,
Monrovia High School,High,1986-10-03,Monrovia,CA,
South Oak Cliff High School,High,1986-10-08,Dallas,TX,4:00 PM
Fergus High School,High,1986-12-04,Lewistown,MT,
Los Angeles High School,High,1987-01-14,Los Angeles,CA,
Redford High School,High,1987-01-23,Detroit,MI,8:05 AM
Dardanelle High School,High,1987-02-10,Dardanelle,AR,12:30 PM
Orme School,Other,1987-02-13,Mayer,AZ,8:30 PM
Mount Tom Country Day School,Other,1987-02-24,New Rochelle,NY,8:30 AM
Dekalb High School,High,1987-03-02,De Kalb,MO,8:25 AM
Riverside High School,High,1987-03-06,El Paso,TX,
Panorama Elementary School,Elementary,1987-03-30,Santa Ana,CA,11:17 AM
Murray-Wright High School,High,1987-04-16,Detroit,MI,12:00 PM
Grant High School,High,1987-04-30,Portland,OR,2:15 PM
Pike Township High School,High,1987-05-03,Indianapolis,IN,11:30 AM
Leto High School,High,1987-05-06,Tampa,FL,9:20 AM
MacAuthur Junior High,Junior High,1987-05-06,Jonesboro,AR,
Oak Lawn Community High School,High,1987-05-13,Oak Lawn,IL,
Illiana Christian High School,High,1987-09-28,Lansing,IL,
DuSable High School,High,1987-10-14,Chicago,IL,8:00 AM
Southwood Elementary School,Elementary,1987-10-30,Kingston,NC,9:00 PM
Andrews High School,High,1987-10-31,Andrews,SC,20:00:00
Southwestern High School,High,1987-11-04,Detroit,MI,10:50 AM
Clearwater High School,High,1987-11-14,Clearwater,FL,
Perales Elementary School,Elementary,1987-11-30,San Antonio,TX,3:50 PM
Englewood High School,High,1987-12-02,Jacksonville,FL,
East New York High School of Transit Technology,High,1987-12-04,New York,NY,12:55 PM
Grady Vocational-Technical School,High,1987-12-15,Brighton Beach,NY,9:45 AM
Mayde Creek High School,High,1987-12-16,Katy,TX,10:00 AM
Springfield High School,High,1988-01-05,Springfield,PA,9:00 PM
Gaither High School,High,1988-01-06,Tampa,FL,11:00 AM
Crawford County Joint Vocational Technical School,High,1988-01-08,Meadville,PA,8:45 AM
Simsboro High School,High,1988-01-20,Ruston,LA,8:00 AM
Reagan High School,High,1988-01-29,Austin,TX,8:45 PM
West End Christian Elementary School,Elementary,1988-02-02,Tuscaloosa,AL,8:40 AM
Pinellas Park High School,High,1988-02-11,Largo,FL,
Bristol High School,High,1988-02-26,Bristol,RI,11:51 AM
Lessenger Junior High,Junior High,1988-03-04,Detroit,MI,
Cajon High School,High,1988-03-23,San Bernadino,CA,
Travis High School,High,1988-03-24,Austin,TX,4:15 PM
Martin Luther King High School,High,1988-05-05,Chicago,IL,
Fort Myers Middle School,Middle,1988-05-16,Fort Myers,FL,3:43 PM
Hubbard Woods Elementary School,Elementary,1988-05-20,Winnetka,IL,9:00 AM
Public School 67,Elementary,1988-05-31,Bronx,NY,
Wingfield High School,High,1988-06-02,Jackson,MS,12:30 PM
Joy Middle School,Middle,1988-06-17,Detroit,MI,9:30 AM
Aiea High School,High,1988-06-30,Oahu,HI,10:25 AM
Siefert Elementary School,Elementary,1988-07-10,Milwaukee,WI,7:45 PM
Lanier High School,High,1988-07-11,Jackson,MS,10:43 AM
Central High School,High,1988-08-31,Detroit,MI,10:50 AM
West Franklin Elementary School,Elementary,1988-08-31,Anderson,SC,10:00 PM
Garinger High School,High,1988-09-02,Charlotte,NC,21:30:00
Glen Hills High School,High,1988-09-02,Augusta,GA,22:55:00
Lincoln High School,High,1988-09-03,Dallas,TX,
Moses Montefoire Public School,Elementary,1988-09-22,Chicago,IL,10:00 AM
Oakland Elementary School,Elementary,1988-09-26,Greenwood,SC,11:30:00
Mascotte Elementary School ,Elementary,1988-10-03,Mascotte,FL,11:00 AM
Istrouma Senior High School,High,1988-10-04,Baton Rouge,LA,
J E B Stuart Junior High School (bus),Junior High,1988-10-04,Jacksonville,FL,
Edmondson Westside Senior High School,High,1988-10-05,Baltimore,MD,12:00 PM
Most Pure Heart of Mary School,Elementary,1988-10-06,Mobile,AL,
Dick Dowling Elementary School,Elementary,1988-10-07,Port Arthur,TX,8:20 AM
Southwestern Senior High School,High,1988-10-07,Baltimore,MD,
Paxon High School,High,1988-11-01,Jacksonville,FL,
Glendale Intermediate School,Middle,1988-11-07,Salt Lake City,UT,
Abilene Cooper High School,High,1988-11-22,Abilene,TX,
Atlantic Shores Christian School,K-12,1988-12-16,Virginia Beach,VA,10:30 AM
Henderson Junior High School,Middle,1989-01-05,Little Rock,AR,8:00 AM
Cleveland Elementary School,Elementary,1989-01-17,Stockton,CA,11:59 AM
Woodrow Wilson HIgh School,High,1989-01-26,Washington,DC,2:25 PM
Rigby Junior High School,,1989-02-09,Rigby,ID,11:00:00
Thomas Jefferson Junior High School,Junior High,1989-02-10,Kearns,UT,
Wirt High School,High,1989-03-03,Gary,IN,12:09 PM
A Maceo Smith High School,High,1989-04-26,Dallas,TX,
Salem High School,High,1989-09-01,Virginia Beach,VA,21:00:00
Dysart High School,High,1989-09-11,El Mirage,AZ,7:30 AM
Jackson County High School,High,1989-09-18,McKee,KY,
Loara High School,High,1989-10-05,Anaheim,CA,9:30 AM
Oliver Wendell Holmes Middle School,Middle,1989-10-31,Dallas,TX,
Alfred E. Smith High School,High,1989-11-13,New York,NY,
Workman Junior High School,Junior High,1989-11-15,Arlington,TX,3:45 PM
Channel Islands High School,High,1989-11-22,Oxnard,CA,3:00 PM
Caddo Magnet High School,High,1989-12-04,Shreveport,LA,
Serra Catholic High School bus,High,1989-12-05,McKeesport,PA,
W W Samuell High School,High,1989-12-05,Dallas,TX,8:20 AM
Chester High School,High,1989-12-12,Chester,SC,
Central High School,High,1990-01-16,Providence,RI,
Taft High School,High,1990-02-20,Cincinnati,OH,3:00 PM
New Utrecht High School,High,1990-03-27,Brooklyn,NY,8:40 AM
Skyline High School,High,1990-04-03,Dallas,TX,
Mount Pleasant High School,High,1990-05-04,East San Jose,CA,
Hickman County High School,High,1990-05-20,Centerville,TN,9:00 AM
Sunrise Elementary School,Elementary,1990-05-31,Fort Worth,TX,10:15 AM
Myers Park High School,High,1990-08-24,Charlotte,NC,
Eldorado High School,High,1990-08-27,Las Vegas,NV,7:15 AM
W H Adamson High School,High,1990-08-27,Dallas,TX,10:15 AM
South Forsyth Middle School - High School,6-12,1990-09-06,Cumming,GA,08:25:00
Sam Houston High School,High,1990-09-11,San Antonio,TX,11:55 AM
Legion Field Statium (high school game),High,1990-09-22,Birmingham,AL,
W H Adamson High School,High,1990-10-02,Dallas,TX,4:50 PM
Charlestown High School,High,1990-10-29,Charlestown,IN,11:10 AM
Naaman Forest High School,High,1990-10-30,Garland,TX,
Justin Kimball High School,High,1990-11-10,Dallas,TX,20:40:00
Salmen High School,High,1990-12-13,Slidell,LA,8:52 PM
Richardson High School,High,1991-01-08,Richardson,TX,9:45 AM
Hood Middle School,Middle,1991-01-17,Dallas,TX,
Booker T. Washington High School,High,1991-02-19,New Orleans,LA,1:00 PM
Selma High School,High,1991-03-13,Selma,AL,9:35 AM
Woodmont High School,High,1991-03-14,Piedmont,SC,
Garinger High School,High,1991-03-25,Charlotte,NC,2:20 PM
Northwest High School,High,1991-04-11,Rock Hill,SC,8:00 AM
Humphrey's County High School,High,1991-04-23,Belzoni,MS,
Ralph J. Bunche Middle School,Middle,1991-04-23,Compton,CA,
Franklin Alternative Middle School,Middle,1991-05-10,Columbus,OH,2:00 PM
Coronado Middle School,Middle,1991-05-16,Kansas City,KS,
Robert A. Millikan Junior High School,Junior High,1991-05-21,Sherman Oaks,CA,
School of Choice,Unknown,1991-05-21,Pahokee,FL,10:30 AM
Westchester High School,High,1991-07-22,Los Angeles,CA,10:30 AM
Enterprise Middle School,Middle,1991-07-30,Compton,CA,
Madison High School,High,1991-09-13,Houston,TX,11:00 PM
Woodson High School,High,1991-09-17,Chicago,IL,5:00 PM
Crosby High School,High,1991-09-18,Crosby,TX,
Spring Woods High School (bus),High,1991-10-02,Houston,TX,7:14 AM
Dorsey High School,High,1991-10-04,Los Angeles,CA,5:27 PM
Roosevelt High School,High,1991-10-04,Los Angeles,CA,
James Monroe High School,High,1991-10-09,Bronx,NY,9:15 AM
Madison Park High School,High,1991-10-11,Roxbury,MA,15:55:00
Genevieve Sparks Elementary School,Elementary,1991-10-15,Pasadena,TX,1:15 PM
Monadnock Regional High School,High,1991-10-15,Swanzey,NH,
Woodruff High School,High,1991-10-15,Woodruff,SC,12:30 PM
Oak Cliff High School,High,1991-10-23,Dallas,TX,7:45 AM
Walter L. Cohen Senior High School,High,1991-11-06,New Orleans,LA,3:30 PM
Ysleta High School,High,1991-11-11,El Paso,TX,
Milby High School,High,1991-11-14,Houston,TX,12:00 AM
Thomas Jefferson High School,High,1991-11-25,Brooklyn,NY,10:30 AM
Whiteville High School,High,1991-12-26,Whiteville,NC,
Greenwood High School,High,1992-01-17,Greenwood,SC,12:00:00
Francis W. Gregory Junior High School,Junior High,1992-01-28,Gentilly,LA,
Francis W. Gregory Junior High School,Junior High,1992-01-31,Gentilly,LA,1:30 PM
Douglass High School,High,1992-02-06,Oklahoma City,OK,2:20 PM
Booker T. Washington High School,High,1992-02-07,Norfolk,VA,12:47 PM
Thomas Jefferson High School,High,1992-02-26,Brooklyn,NY,8:40 AM
Hamilton Middle School,Middle,1992-03-05,Obetz,OH,
O Perry Walker High School,High,1992-03-31,Algiers,LA,8:15 AM
Fort Myers High School,High,1992-04-09,Fort Myers,FL,9:15 AM
Lincoln High School,High,1992-04-17,Dallas,TX,
Lindhurst High School,High,1992-05-01,Olivehurst,CA,
Huntsville Junior High School,Junior High,1992-05-14,Huntsville,TX,7:45 AM
Silverado Middle School,Junior High,1992-05-14,Napa,CA,8:15 AM
Venice High School,High,1992-05-29,Los Angeles,CA,
Archbishop Carroll High School,High,1992-05-30,Washington,DC,23:50:00
Merced High School,High,1992-06-06,Merced,CA,11:18 PM
Palo Duro High School,High,1992-09-11,Amarillo,TX,10:00 AM
Hiram Johnson High School,High,1992-09-28,Sacramento,CA,3:10 PM
Hollibrook Elementary School,Elementary,1992-09-30,Houston,TX,10:30 PM
Paramount High School,High,1992-09-30,Los Angeles,CA,15:00:00
Desert View High School,High,1992-10-13,Tucson,AZ,
Evander Childs High School,High,1992-10-19,Bronx,NY,1:47 PM
Finney High School,High,1992-11-04,Detroit,MI,10:30 AM
Marcus Garvey Academy,K-8,1992-11-04,Detroit,MI,2:45 PM
Mumford High School,High,1992-11-04,Detroit,MI,2:45 PM
Sherman Elementary School,Elementary,1992-11-10,Chicago,IL,
Langham Creek High School,High,1992-11-13,Cypress,TX,2:00 PM
Fairfield High School,High,1992-11-16,Birmingham,AL,
Tilden High School,High,1992-11-20,Chicago,IL,10:00 AM
Robert E. Lee High School,High,1992-11-24,Montgomery,AL,
Orr High School,High,1992-11-30,Chicago,IL,
Woodson High School,High,1992-12-03,Chicago,IL,7:00 PM
Walton High School,High,1992-12-14,Walton,NY,9:14 AM
Brentwood High School,High,1993-01-05,Brentwood,NY,5:27 PM
Crawford County Joint Vocational Technical School,High,1993-01-08,Meadville,PA,08:00:00
Norland Senior High School,High,1993-01-12,Miami,FL,3:15 PM
East Carter High School,High,1993-01-18,Grayson,KY,2:40 PM
Fairfax High School,High,1993-01-21,Los Angeles,CA,
Amityville High School,High,1993-02-01,Amityville,NY,2:15 PM
Redmond Junior High School,High,1993-02-01,Redmond,WA,6:30 AM
Garrett High School,High,1993-02-03,Charleston,SC,20:00:00
Lexington High School,High,1993-02-03,Lexington,SC,
Clayton High School,High,1993-02-04,Atlanta,GA,3:30 PM
Middle River Middle School,Middle,1993-02-08,Middle River,MN,
Washington-Dix Street Academy (High School),High,1993-02-08,Washington,DC,11:00 AM
Reseda High School,High,1993-02-22,Los Angeles,CA,10:00:00
Gloucester High School,High,1993-02-26,Gloucester,MA,
Dozier Middle School,Middle,1993-03-08,Denbigh,VA,
Harlem High School,High,1993-03-18,Harlem,GA,8:15 AM
Sumner High School,High,1993-03-25,St. Louis,MO,8:00 AM
Grant High School,High,1993-04-03,Sacramento,CA,
Ford Middle School,Middle,1993-04-15,Acushnet,MA,
Grant High School,High,1993-04-16,Sacramento,CA,5:25 PM
Mount Tahoma High School,High,1993-04-16,Tacoma,WA,
Nimitz High School,High,1993-05-14,Irving,TX,15:00:00
Upper Perkiomen High School,High,1993-05-24,Pennsburg,PA,
Francis T. Nicholls High School,High,1993-05-27,New Orleans,LA,
Dorsey High School,High,1993-07-07,Los Angeles,CA,2:30 PM
Theodore Roosevelt High School,High,1993-08-03,New York,NY,
Harper High School,High,1993-08-31,Atlanta,GA,
Junction City High School,High,1993-09-01,Junction City,KS,
Roosevelt High School,High,1993-09-02,Dallas,TX,2:45 PM
Fairfield High School,High,1993-09-12,Fairfield,AL,13:46:00
Roosevelt High School,High,1993-09-16,Chicago,IL,3:00 PM
Central Junior High School,Junior High,1993-09-17,Sheridan,WY,
Downers South High School,High,1993-09-17,Downers Grove,IL,
Weatherless Elementary School,Elementary,1993-09-25,Washington,DC,
Coleman Junior High School,Junior High,1993-09-28,Greenville,MS,8:10 AM
Dover High School,High,1993-10-12,New Castle,DE,
J H Johnson Junior High School,Junior High,1993-10-18,Washington,DC,11:30 AM
Sullivan High School,High,1993-11-01,Chicago,IL,
Bay Springs High School,High,1993-11-04,Bay Springs,MS,
New Britain High School,High,1993-11-04,New Britain,CT,
Terry Parker High School,High,1993-11-04,Jacksonville,FL,
Ridgely Elementary School,High,1993-11-11,Springfield,IL,12:00 AM
Wauwatosa West High School,High,1993-12-01,Wauwatosa,WI,
New Britain High School,High,1993-12-02,New Britain,CT,
Beach High School,High,1993-12-08,Savannah,GA,8:00 PM
Chatsworth High School,High,1993-12-15,San Fernando Valley,CA,1:40 PM
Chelsea High School,High,1993-12-17,Chelsea,MI,
Los Altos High School,High,1994-01-20,Hacienda Heights,CA,3:10 PM
Kennard High School,High,1994-01-21,Kennard,TX,8:02 AM
Eau Claire High School,High,1994-01-24,Columbia,SC,
Eliot Junior High School,Junior High,1994-01-26,Washington,DC,3:30 PM
Paul Lawrence Dunbar High School,High,1994-01-26,Washington,DC,10:50 AM
Washington Elementary School,Elementary,1994-01-27,San Jose,CA,2:30 PM
Whitman Middle School,Middle,1994-01-31,Seattle,WA,6:30 AM
Osborn High School,High,1994-02-08,Detroit,MI,
Spartanburg High School,High,1994-02-18,Spartanburg,SC,10:00 PM
Kemper Military School and College,Other,1994-03-01,Boonville,MO,9:00 AM
Ensley High School,High,1994-03-03,Birmingham,AL,
Eastern High School,High,1994-03-09,Washington,DC,11:00 AM
Goose Creek High School,High,1994-03-15,Charleston,SC,
Ballard High School,High,1994-03-23,Seattle,WA,12:00 PM
Etowah High School,High,1994-03-25,Cherokee County,GA,
McNeil High School,High,1994-04-05,Austin,TX,
Largo High School,High,1994-04-08,Upper Marlboro,MD,9:00 AM
Margaret Leary Elementary School,Elementary,1994-04-12,Butte,MT,
49th Street Elementary School,Elementary,1994-04-13,Los Angeles,CA,
Eliot Junior High School,High,1994-04-19,Washington,DC,
Dickinson Middle School,Middle,1994-04-20,South Bend,IN,930am
J T Moore Middle School,Middle,1994-04-21,Nashville,TN,13:30:00
North Miami High School,High,1994-05-02,North Miami,FL,12:00 PM
Lakeland Regional High School,High,1994-05-25,Wanaque,NJ,8:30 AM
LaSalle High School,High,1994-05-25,South Bend,IN,12:30 PM
Larry A. Ryle High School,High,1994-05-26,Union,KY,9:00 AM
Manchester Elementary School,Elementary,1994-07-24,Manchester,PA,
Ottumwa High School,High,1994-07-25,Ottumwa,IA,11:38 AM
Hollywood High School,High,1994-09-07,Los Angeles,CA,3:30 PM
Sweet Home High School,High,1994-09-08,Albany,NY,9:00 AM
Locke High School,High,1994-09-19,Los Angeles,CA,10:20 AM
Lebanon Union High School,High,1994-09-22,Lebanon,OR,
Grimsley High School,High,1994-10-12,Greensboro,NC,
Hubbard High School,High,1994-10-17,Chicago,IL,2:15 PM
Aliso Niguel High school,High,1994-10-31,Aliso Veijo,CA,12:44 PM
Thomas Jefferson Elementary School,Elementary,1994-11-05,San Leandro,CA,
Wickliffe Middle School,Middle,1994-11-07,Wickliffe,OH,
West Delaware High School,High,1994-11-08,Manchester,IA,2:00 PM
Stadium High School,High,1994-11-15,Tacoma,WA,
