Incident_ID,Date,Quarter,School,City,State,School_Level,Location,During_School,Time_Period,First_Shot,Bullied,Domestic_Violence,Gang_Related,Preplanned
19990422LASCB,1999-04-22,Spring,Scotlandville Middle School,Baton Rouge,LA,Middle,Beside Building,Yes,Lunch,12:30 PM,No,No,No,No
19990520GAHEC,1999-05-20,Spring,Heritage High School,Conyers,GA,High,Hallway,Yes,Morning Classes,8:03 AM,No,No,No,Yes
19990825GAJAM,1999-08-25,Summer,Jasper County High School,Monticello,GA,High,Parking Lot,Yes,Morning Classes,,No,No,No,No
19990909CASAS,1999-09-09,Fall,Santa Teresa High School,San Jose,CA,High,Bathroom,Yes,Morning Classes,8:30 AM,No,No,No,No
19990927FLEGT,1999-09-27,Fall,Egypt Lake Elementary School,Tampa,FL,Elementary,Beside Building,Yes,Before School,7:30 AM,No,No,No,No
19991004SDJOP,1999-10-04,Fall,John Bartram High School,Philadelphia City,SD,High,Hallway,Yes,Morning Classes,10:00 AM,No,No,No,No
19991011NVCLL,1999-10-11,Fall,Clark High School,Las Vegas,NV,High,Beside Building,No,After School,2:40 PM,No,No,Yes,No
19991021CASAP,1999-10-21,Fall,San Fernando High School,Pacoima,CA,High,Beside Building,No,After School,2:40 PM,No,No,,No
19991026WVGUB,1999-10-26,Fall,Guyan Valley High School,Branchland,WV,High,Outside on School Property,No,Before School,6:10 AM,No,Yes,No,No
19991026PAMAP,1999-10-26,Fall,Martin Luther King High School,Philadelphia,PA,High,Beside Building,Yes,Afternoon Classes,1:30 PM,No,No,No,No
19991117TXDID,1999-11-17,Fall,Dickinson High School,Dickinson,TX,High,Bathroom,Yes,Before School,8:00 AM,No,No,No,No
19991119NMDED,1999-11-19,Fall,Deming Middle School,Deming,NM,Middle,Outside on School Property,Yes,Lunch,12:45 PM,No,No,No,No
19991206OKFOF,1999-12-06,Winter,Fort Gibson Middle School,Fort Gibson,OK,Middle,Front of School,Yes,School Start,7:45 AM,No,No,No,No
20000110AKBAA,2000-01-10,Winter,Bartlett High School,Anchorage,AK,High,Beside Building,No,After School,,No,No,No,No
20000113NMALA,2000-01-13,Winter,Albuquerque High School,Albuquerque,NM,High,Parking Lot,Yes,Lunch,12:30 PM,No,No,Yes,No
20000119FLRIN,2000-01-19,Winter,Ridgewood High School,New Port Richey,FL,High,Outside on School Property,Yes,After School,3:00 PM,No,No,No,No
20000120NCERA,2000-01-20,Winter,Erwin High School,Asheville,NC,High,Gym,No,Evening,,No,No,No,Yes
20000126CAALM,2000-01-26,Winter,Alicia Reyes Elementary School,Merced,CA,Elementary,Parking Lot,Yes,School Start,8:34 AM,Yes,No,No,No
20000126NESOO,2000-01-26,Winter,South High School,Omaha,NE,High,Front of School,Yes,Dismissal,,No,No,No,No
20000210PAPEY,2000-02-10,Winter,Penn Wood East Junior High School,Yeadon,PA,Junior High,Beside Building,Yes,Dismissal,2:15 PM,No,No,No,No
20000214ILDUC,2000-02-14,Winter,Duke Ellington Elementary School,Chicago,IL,Elementary,Bathroom,Yes,Afternoon Classes,3:00 PM,No,No,No,No
20000229MIBUF,2000-02-29,Winter,Buell Elementary School,Flint,MI,Elementary,Classroom,Yes,Morning Classes,10:00:00,No,No,No,No
20000310GABES,2000-03-10,Spring,Beach High School,Savannah,GA,High,Gym,No,School Event,11:15 PM,,No,No,No
20000323OHMCL,2000-03-23,Spring,McKinley Elementary School,Lisbon,OH,Elementary,Classroom,Yes,Morning Classes,8:45 AM,,No,No,No
20000406OKHUH,2000-04-06,Spring,Hugo High School,Hugo,OK,High,Football Field/Track,Yes,Sport Event,12:00 PM,No,No,No,No
20000410AZLAT,2000-04-10,Spring,La Cima Middle School,Tucson,AZ,Middle,Classroom,No,Before School,,No,No,No,No
20000502COTHD,2000-05-02,Spring,Thomas Jefferson High School,Denver,CO,High,Parking Lot,Yes,,,No,No,No,No
20000510AZCAS,2000-05-10,Spring,Carmichael Elementary School,Sierra Vista,AZ,Elementary,Classroom,Yes,Afternoon Classes,1:30 PM,No,Yes,No,No
20000526FLLAL,2000-05-26,Spring,Lake Worth Middle School,Lake Worth,FL,Middle,Classroom,Yes,After School,3:00 PM,No,No,No,No
20000717WADIR,2000-07-17,Summer,Dimmitt Middle School,Renton,WA,Middle,Cafeteria,Yes,Lunch,10:30 AM,,No,No,Yes
20000726OHTIC,2000-07-26,Summer,Timken Senior High School,Canton,OH,High,Parking Lot,Yes,Dismissal,,No,No,No,No
20000905OHBIB,2000-09-05,Fall,Bidwell Porter Elementary School,Bidwell,OH,Elementary,Parking Lot,No,Before School,6:30 AM,No,Yes,No,No
20000907ILLOR,2000-09-07,Fall,Longfellow Elementary School,Rock Island,IL,Elementary,Parking Lot,No,Evening,6:58 PM,No,No,No,No
20000918OHMOM,2000-09-18,Fall,Mount Healthy North Junior High,Mount Healthy,OH,Junior High,Classroom,Yes,,,No,No,No,No
20000926LACAN,2000-09-26,Fall,Carter G. Woodson Middle School,New Orleans,LA,Middle,Field (General),Yes,Lunch,12:00 PM,No,No,No,No
20001005MNMIM,2000-10-05,Fall,Minneapolis North High School,Minneapolis,MN,High,Beside Building,No,Night,11:00 PM,No,No,Yes,No
20001024AZPIG,2000-10-24,Fall,Pioneer Elementary School,Glendale,AZ,Elementary,Classroom,Yes,Morning Classes,11:15 AM,No,No,No,No
20001101TXNEC,2000-11-01,Fall,Newman Smith High School,Carrollton,TX,High,Classroom,Yes,Morning Classes,8:15 AM,No,No,No,No
20001201CAGRL,2000-12-01,Winter,Granada Hills High School,Los Angeles,CA,High,Parking Lot,No,Before School,7:00 AM,No,No,No,No
20001201CAJUS,2000-12-01,Winter,Junipero Serra High School,San Diego,CA,High,Inside School Building,Yes,Unknown,,No,No,No,No
20001207CARIR,2000-12-07,Winter,Richmond High School,Richmond,CA,High,Front of School,Yes,Lunch,12:45 PM,No,No,Yes,No
20001221FLNOM,2000-12-21,Winter,Norland Elementary School,Miami,FL,Elementary,Parking Lot,Yes,After School,3:45 PM,No,No,No,No
20010103CABAS,2001-01-03,Winter,Balboa High School,San Francisco,CA,High,Classroom,Yes,Morning Classes,9:30 AM,No,No,No,No
20010110CAHUO,2001-01-10,Winter,Hueneme High School,Oxnard,CA,High,Parking Lot,Yes,Lunch,12:50 PM,No,No,Yes,No
20010117MDLAB,2001-01-17,Winter,Lake Clifton Eastern High School,Baltimore,MD,High,Front of School,Yes,Before School,8:45 AM,No,No,No,No
20010202MIOSD,2001-02-02,Winter,Osborn High School,Detroit,MI,High,Classroom,Yes,,,No,No,No,No
20010302CAHOS,2001-03-02,Spring,Hoover High School,San Diego,CA,High,Parking Lot,Yes,Afternoon Classes,,No,No,No,No
20010305CASAS,2001-03-05,Spring,Santana High School,Santee,CA,High,Bathroom,Yes,Morning Classes,9:20 AM,Yes,No,No,Yes
20010306MDLAL,2001-03-06,Spring,Largo High School,Largo,MD,High,Cafeteria,No,After School,5:00 PM,No,No,No,No
20010307PABIW,2001-03-07,Spring,Bishop Neumann High School,Williamsport,PA,High,Cafeteria,Yes,Lunch,12:00 PM,Yes,No,No,No
20010307WAKEC,2001-03-07,Spring,Kentwood High School,Covington,WA,High,Classroom,Yes,,,No,No,No,No
20010322CAGRE,2001-03-22,Spring,Granite Hills High School,El Cajon,CA,High,Beside Building,Yes,Lunch,12:54 PM,No,No,No,No
20010330INLEG,2001-03-30,Spring,Lew Wallace High School,Gary,IN,High,Parking Lot,No,School Start,8:15 AM,Yes,No,Yes,No
20010402TXKLH,2001-04-02,Spring,Kleb Intermediate School,Houston,TX,High,Bathroom,Yes,Morning Classes,10:30 AM,No,No,No,No
20010410WAWAM,2001-04-10,Spring,Wahluke High School,Mattawa,WA,High,Classroom,Yes,,,No,No,No,No
20010420LAMOM,2001-04-20,Spring,Monroe City Alternative Center,Monroe,LA,High,Hallway; Beside Building,Yes,School Start,7:20 AM,No,No,No,
20010425OHJOC,2001-04-25,Spring,John Marshall High School,Cleveland,OH,High,Parking Lot,No,Night,11:00 PM,No,No,,No
20010515TXENE,2001-05-15,Spring,Ennis High School,Ennis,TX,High,Classroom,Yes,Morning Classes,12:00 PM,No,No,No,No
20010607TXOUA,2001-06-07,Summer,Ousley Junior High School,Arlington,TX,High,Hallway,No,Not a School Day,6:10 PM,N/A,N/A,N/A,N/A
20010730CABEL,2001-07-30,Summer,Belmont High School,Los Angeles,CA,High,Hallway,Yes,School Start,7:25 AM,No,No,,No
20010912KYLAC,2001-09-12,Fall,Latonia Elementary School,Covington,KY,Elementary,Parking Lot,Yes,Dismissal,3:00 PM,No,No,No,No
20010921MDLAB,2001-09-21,Fall,Lake Clifton Eastern High School,Baltimore,MD,High,Cafeteria,Yes,Lunch,1:00 PM,No,No,Yes,No
20011012UTTAT,2001-10-12,Fall,Taylorsville High School,Taylorsville,UT,High,Hallway,Yes,Afternoon Classes,,No,No,No,No
20011026MIBES,2001-10-26,Fall,Benito Juarez Academy,Siginaw,MI,High,Beside Building,Yes,Afternoon Classes,1:45 PM,No,No,No,No
20011026CARER,2001-10-26,Fall,Redondo Union High School,Redondo Beach,CA,High,Courtyard,Yes,Morning Classes,10:00 AM,No,No,No,No
20011112MICAC,2001-11-12,Fall,Caro Learning Center,Caro,MI,High,Classroom,Yes,Afternoon Classes,2:40 PM,No,No,No,No
20011130TXFRF,2001-11-30,Fall,Friendswood Junior High School,Friendswood,TX,High,Classroom,No,Before School,6:00 AM,No,No,No,No
20020111MSRAJ,2002-01-11,Winter,Raymond High School,Jackson,MS,High,Office,Yes,Lunch,12:00 PM,No,No,No,Yes
20020115NYMAN,2002-01-15,Winter,"Martin Luther King, Jr. High School",New York,NY,High,Hallway,Yes,Afternoon Classes,2:00 PM,Yes,No,Yes,No
20020124PAOLO,2002-01-24,Winter,Oley High School (bus),Oley,PA,High,School Bus,Yes,Before School,,No,No,No,No
20020201TXBRB,2002-02-01,Winter,Brock High School,Brock,TX,High,Parking Lot,No,After School,,No,Yes,No,No
20020206CAGAL,2002-02-06,Winter,Gardena High School,Los Angeles,CA,High,Bathroom,Yes,Afternoon Classes,2:50 PM,No,No,No,No
20020207ILROC,2002-02-07,Winter,Roosevelt High School,Chicago,IL,High,Beside Building,Yes,Dismissal,2:50 PM,No,No,No,No
20020322CAJOC,2002-03-22,Spring,John Barrett Middle School,Carmichael,CA,Middle,Classroom,Yes,Morning Classes,,No,No,No,Yes
20020406MDLEB,2002-04-06,Spring,Leith Walk Elementary School,Baltimore,MD,Elementary,Playground,No,Night,1:00 AM,N/A,N/A,N/A,N/A
20020426LAABN,2002-04-26,Spring,Abramson High School,New Orleans,LA,High,Beside Building,No,Evening,9:45 PM,No,No,No,No
20021004MTCMG,2002-10-04,Fall,C M Russell HIgh School,Great Falls,MT,High,Parking Lot,Yes,After School,3:30 PM,No,No,Yes,No
20021004TXPAS,2002-10-04,Fall,Page Middle School,San Antonio,TX,High,Parking Lot,Yes,School Start,8:15 AM,Yes,No,No,No
20021007MDBEB,2002-10-07,Fall,Benjamin Tasker Middle School,Bowie,MD,Middle,Front of School,Yes,School Start,8:09 AM,No,No,No,No
20021029NJLIJ,2002-10-29,Fall,Lincoln High School,Jersey City,NJ,High,Hallway,Yes,Morning Classes,8:30 AM,No,No,No,No
20021107MOSTL,2002-11-07,Fall,St. James Catholic School,Liberty,MO,K-8,Parking Lot,Yes,Lunch,12:40 PM,No,Yes,No,No
20021115CAAML,2002-11-15,Fall,Ambler Avenue Elementary School,Los Angeles,CA,Elementary,Beside Building,No,Evening,5:30 PM,No,No,,No
20021115TXSCS,2002-11-15,Fall,Scurry-Rosser High School,Scurry,TX,High,Hallway,Yes,Morning Classes,8:30 AM,No,No,No,
20021202MIOSD,2002-12-02,Winter,Osborn High School,Detroit,MI,High,Classroom,Yes,Morning Classes,10:00 AM,No,No,No,No
20021212WAWIC,2002-12-12,Winter,Wind River Middle School,Carson,WA,Middle,Classroom,No,After School,4:40 PM,,No,No,
20021216ILENC,2002-12-16,Winter,Englewood High School,Chicago,IL,High,Beside Building,No,After School,3:00 PM,No,Yes,No,No
20030121KYWEO,2003-01-21,Winter,West Carter Middle School,Olive Hill,KY,Middle,Classroom,Yes,Morning Classes,11:00 AM,No,No,No,No
20030130OKJEJ,2003-01-30,Winter,Jenks High School,Jenks,OK,High,Other,Yes,Dismissal,3:00 PM,,No,No,No
20030205CORAW,2003-02-05,Winter,Ranum High School,Westminster,CO,High,Outside on School Property,Yes,Morning Classes,8:40 AM,No,No,No,No
20030318IACLG,2003-03-18,Spring,Clayton Ridge High School,Guttenberg,IA,High,Office,Yes,Afternoon Classes,,No,No,No,No
20030321MSNOM,2003-03-21,Spring,Northeast High School,Meridian,MS,High,Bathroom,Yes,Morning Classes,8:00 AM,,No,No,No
20030330CAROW,2003-03-30,Spring,Rolling Hills Middle School,Watsonville,CA,High,Beside Building,No,Not a School Day,6:40 PM,No,No,Yes,No
20030401DCCAW,2003-04-01,Spring,Cardozo High School,Washington,DC,High,Hallway,Yes,Lunch,12:15 PM,No,No,Yes,No
20030410CAWAW,2003-04-10,Spring,Walnut High School,Walnut,CA,High,Cafeteria,Yes,Lunch,12:10:00,No,No,No,No
20030414LAFAS,2003-04-14,Spring,Fair Park High School,Shereveport,LA,High,Classroom,Yes,Morning Classes,10:30 AM,No,No,No,No
20030414LAJON,2003-04-14,Spring,John McDonogh High School,New Orleans,LA,High,Gym,Yes,Morning Classes,10:15 AM,No,No,Yes,No
20030416TXGRA,2003-04-16,Spring,Greenhill Middle School,Addison,TX,Middle,Bathroom,Yes,After School,3:10 PM,,No,No,No
20030424PARER,2003-04-24,Spring,Red Lion Area Junior High School,Red Lion,PA,Junior High,Cafeteria,Yes,School Start,7:34 AM,No,No,No,No
20030513PAFOJ,2003-05-13,Spring,Forest Hills High School,Johnstown,PA,High,Parking Lot,Yes,Morning Classes,,No,No,No,No
20030604PAROW,2003-06-04,Summer,Rock L. Butler Middle School,Wellsboro,PA,Middle,Bathroom,Yes,School Start,8:17 AM,No,No,No,Yes
20030910MSVIV,2003-09-10,Fall,Vicksburg High School,Vicksburg,MS,High,Football Field/Track,Yes,Afternoon Classes,2:30 PM,No,No,No,No
20030917MACHB,2003-09-17,Fall,Charlestown High School,Boston,MA,K-12,Beside Building,No,Dismissal,2:00 PM,No,No,Yes,No
20030917MDOKE,2003-09-17,Fall,Oklahoma Road Middle School,Eldersburg,MD,Middle,Bathroom,Yes,Morning Classes,10:00 AM,No,No,No,No
20030922WALES,2003-09-22,Fall,Lewis and Clark High School,Spokane,WA,High,Classroom,Yes,Lunch,11:10 AM,,No,No,No
20030924MNROC,2003-09-24,Fall,Rocori High School,Cold Spring,MN,High,Gym,Yes,Morning Classes,11:38 AM,Yes,No,No,No
20030925NCBUL,2003-09-25,Fall,Burns Middle School,Lawndale,NC,Middle,Hallway,Yes,School Start,8:00 AM,No,,No,
20031001CARIS,2003-10-01,Fall,Rio Cazadero High School,Sacramento,CA,High,Classroom; Beside Building,Yes,Morning Classes,9:00 AM,No,Yes,No,No
20031007OHKEA,2003-10-07,Fall,Kenmore High School,Akron,OH,High,Parking Lot,Yes,Afternoon Classes,,No,No,No,No
20031029LAMAM,2003-10-29,Fall,Marion High School,Marion,LA,High,Classroom,Yes,Morning Classes,7:55 AM,No,No,No,No
20031030DCANW,2003-10-30,Fall,Anacostia High School,Washington,DC,High,Beside Building,No,School Event,3:15 PM,No,No,Yes,No
20031108TXHIS,2003-11-08,Fall,Hightower High School,Sugarland,TX,High,Football Field/Track,No,Sport Event,9:20 PM,No,No,No,No
20031113NCEAC,2003-11-13,Fall,East Mecklenburg High School,Charlotte,NC,High,Classroom,Yes,Morning Classes,11:45 AM,No,No,No,No
20031202ILFEC,2003-12-02,Winter,Fermi Elementary School,Chicago,IL,Elementary,Field (General),No,Evening,9:40 PM,No,No,,No
20031204OKDOO,2003-12-04,Winter,Douglas High School,Oklahoma City,OK,High,Beside Building,Yes,Afternoon Classes,2:10 PM,No,No,No,No
20031205ILCAC,2003-12-05,Winter,Carbondale Community High School,Carbondale,IL,High,Parking Lot,No,Sport Event,,No,No,No,No
20031217MDOLM,2003-12-17,Winter,Old Mill High School,Millersville,MD,High,Bathroom,Yes,Morning Classes,,,,No,
20031222NJCOW,2003-12-22,Winter,Colonia High School,Woodbridge,NJ,High,Parking Lot,No,Evening,10:00 PM,No,No,No,No
20031229FLABE,2003-12-29,Winter,Abess Park Elementary School,East Arlington,FL,Elementary,Parking Lot,No,Night,4:00 AM,No,No,Yes,No
20040115CAPOP,2004-01-15,Winter,Pomona High School,Pomona,CA,High,Classroom,Yes,Morning Classes,,No,No,No,No
20040121NVFAH,2004-01-21,Winter,Fay Galloway Elementary School,Henderson,NV,Elementary,Classroom; Parking Lot,No,After School,4:50 PM,No,Yes,No,No
20040202DCBAW,2004-02-02,Winter,Ballou Senior High School,Washington,DC,High,Beside Building,Yes,Morning Classes,10:30 AM,No,No,No,No
20040203TXYOH,2004-02-03,Winter,Youens Elementary School,Houston,TX,Elementary,Classroom,Yes,Afternoon Classes,10:30 AM,No,No,No,No
20040206LAFAS,2004-02-06,Winter,Fair Park High School,Shreveport,LA,High,Parking Lot,Yes,,,N/A,N/A,N/A,N/A
20040209NYCOE,2004-02-09,Winter,Columbia High School,East Greenbush,NY,High,Bathroom,Yes,Morning Classes,10:30 AM,No,No,No,Yes
20040211PATMP,2004-02-11,Winter,T M Peirce Elementary School,Philadelphia,PA,Elementary,Playground,Yes,School Start,8:30 AM,No,No,Yes,No
20040213OHCOD,2004-02-13,Winter,Colonel White High School,Dayton,OH,High,Parking Lot,Yes,Lunch,1:00 PM,No,No,No,No
20040220LAGAS,2004-02-20,Winter,Gathway Christian Academy,St. Martinville,LA,K-12,Classroom,Yes,Morning Classes,11:15 AM,No,Yes,No,No
20040305CASAL,2004-03-05,Spring,Saledad Enrichment Action Charter High School,Los Angeles,CA,High,Front of School,Yes,School Start,7:35 AM,No,No,Yes,No
20040317WACRJ,2004-03-17,Spring,Crescent Junior-Senior High School,Joyce,WA,Junior High,Classroom,Yes,Morning Classes,10:00 AM,No,No,No,No
20040504TXKAH,2004-05-04,Spring,Kashmere High School,Houston,TX,High,Beside Building,Yes,Morning Classes,8:00 AM,,,,No
20040507MDRAR,2004-05-07,Spring,Randallstown High School,Randallstown,MD,High,Basketball Court,No,After School,4:30 PM,No,No,Yes,No
20040512CAEAM,2004-05-12,Spring,East Campus Educational Center,Merced,CA,K-12,Beside Building,No,Evening,5:25 PM,No,No,Yes,No
20040524UTWES,2004-05-24,Spring,West High School,Salt Lake City,UT,High,Parking Lot,No,Before School,6:00 AM,No,Yes,No,No
20040609CACAO,2004-06-09,Summer,Castlemont High School,Oakland,CA,High,Front of School,Yes,Afternoon Classes,12:22 PM,No,No,Yes,No
20040803ALHUB,2004-08-03,Summer,Huffman High School,Birmingham,AL,High,Parking Lot,Yes,Morning Classes,8:45 AM,No,No,No,No
20040824TNHAM,2004-08-24,Summer,Hamilton High School,Memphis,TN,High,Hallway,Yes,,,No,No,No,No
20040830ILPRM,2004-08-30,Summer,Proviso East High School,Maywood,IL,High,Parking Lot,Yes,Dismissal,2:30 PM,No,No,Yes,No
20040912LABON,2004-09-12,Fall,Booker T. Washington High School,New Orleans,LA,High,Beside Building,No,Not a School Day,12:00 PM,No,No,No,No
20040915INWIG,2004-09-15,Fall,Wirt High School,Gary,IN,High,Hallway,Yes,Afternoon Classes,,No,No,No,No
20041002NEJEG,2004-10-02,Fall,Jefferson Elementary School,Grand Island,NE,Elementary,Parking Lot,No,Not a School Day,6:30 AM,No,Yes,No,No
20041007MANEN,2004-10-07,Fall,Newburyport High School,Newburyport,MA,High,Front of School,No,Night,11:00 PM,No,Yes,No,No
20041012CALAS,2004-10-12,Fall,Lakewood Elementary School,Sunnyvale,CA,Elementary,Parking Lot,,,,No,Yes,No,No
20041015CABIB,2004-10-15,Fall,Biggs High School,Biggs,CA,High,Football Field/Track,No,Sport Event,8:43 PM,No,No,Yes,No
20041021MDTHB,2004-10-21,Fall,Thurgood Marshall High School,Baltimore,MD,High,Courtyard,No,After School,4:00 PM,No,No,No,No
20041022CATYH,2004-10-22,Fall,Tyrrell Elementary School,Hayward,CA,Elementary,Parking Lot,No,Evening,9:55 PM,No,No,Yes,No
20041115INBRG,2004-11-15,Fall,Brunswick Elementary School,Gary,IN,Elementary,Parking Lot,Yes,Dismissal,,No,No,No,No
20041115ALPAB,2004-11-15,Fall,Parker High School,Birmingham,AL,High,Beside Building,No,Sport Event,9:00 PM,No,No,No,No
20041116SCBAB,2004-11-16,Fall,Battery Creek High School,Beaufort,SC,High,Gym,No,Sport Event,6:30 PM,No,No,No,No
20041117FLAPA,2004-11-17,Fall,Apopka Memorial Middle School,Apopka,FL,Middle,Classroom,Yes,,,No,No,No,No
20041119FLTEJ,2004-11-19,Fall,Terry Parker High School,Jacksonville,FL,High,Parking Lot,Yes,School Start,6:45 AM,No,No,No,No
20041209WALAS,2004-12-09,Winter,Lakeside High School,Spokane,WA,High,Front of School,Yes,Afternoon Classes,1:20 PM,Yes,No,No,
20041213LALAL,2004-12-13,Winter,La Grange High School,Lake Charles,LA,High,Parking Lot,Yes,Lunch,12:30 PM,No,No,,No
20041231TXRIR,2004-12-31,Winter,Richmond State School,Richmond,TX,Other,Cafeteria,No,Evening,6:00 PM,No,,No,No
20050105PAMUN,2005-01-05,Winter,Murrell Dobbins Vocational-Technical High School,North Philadelphia,PA,High,Front of School,Yes,Dismissal,2:48 PM,No,No,Yes,No
20050126ILWOP,2005-01-26,Winter,Woodruff High School,Peoria,IL,High,Hallway,Yes,Morning Classes,,No,No,No,No
20050204GAMCA,2005-02-04,Winter,McNair High School,Atlanta,GA,High,Outside on School Property,,,,No,No,No,No
20050208ILBOC,2005-02-08,Winter,Bowen High School,Chicago,IL,High,Beside Building,Yes,Dismissal,2:32 PM,,No,No,No
20050302TNSTD,2005-03-02,Spring,Stewart County High School (bus),Dover,TN,High,School Bus,No,Before School,6:15 AM,No,No,No,No
20050309TNMAN,2005-03-09,Spring,Maplewood Comprehensive High School,Nashville,TN,High,Parking Lot,Yes,Dismissal,2:00 PM,No,No,No,No
20050310TXZAD,2005-03-10,Spring,Zaragoza Elementary School,Dallas,TX,Elementary,Parking Lot,No,Evening,6:30 PM,No,No,,No
20050314OHLEC,2005-03-14,Spring,Leawood Elementary School,Columbus,OH,Elementary,Classroom,Yes,Morning Classes,9:00 AM,No,No,No,No
20050316PACAP,2005-03-16,Spring,Carrick High School,Pittsburgh,PA,High,Parking Lot,Yes,Dismissal,1:58 PM,No,No,Yes,No
20050317CALOL,2005-03-17,Spring,Locke High School,Los Angeles,CA,High,Beside Building,Yes,Dismissal,3:00 PM,No,No,Yes,No
20050317LAOPA,2005-03-17,Spring,O Perry Walker High School,Algiers,LA,High,Hallway,Yes,Afternoon Classes,,No,No,No,No
20050321NYNEB,2005-03-21,Spring,New Utrecht High School,Brooklyn,NY,High,Classroom,Yes,Morning Classes,12:00 PM,No,No,No,No
20050321MNRER,2005-03-21,Spring,Red Lake Senior High School,Red Lake,MN,High,Hallway,Yes,Afternoon Classes,2:49 PM,Yes,No,No,Yes
20050324TNFAM,2005-03-24,Spring,Fairly High School,Memphis,TN,High,Inside School Building,Yes,,,No,No,No,No
20050330TNEAM,2005-03-30,Spring,East High School,Memphis,TN,High,Classroom,Yes,Morning Classes,11:00 AM,No,No,No,No
20050407TXCAC,2005-04-07,Spring,Canton High School,Canton,TX,High,Office,Yes,Morning Classes,9:15 AM,No,No,No,No
20050427LALER,2005-04-27,Spring,Leon Godchaux Junior High School,Reserve,LA,High,Classroom,Yes,Morning Classes,10:00 AM,No,No,No,No
20050429OHDAC,2005-04-29,Spring,Daniel E. Morgan Elementary School,Cleveland,OH,High,Office,,,,No,No,No,No
20050514TXBER,2005-05-14,Spring,Berkner High School,Richardson,TX,High,Parking Lot,No,Not a School Day,7:30 PM,No,No,No,No
20050517PAHIL,2005-05-17,Spring,Highland Elementary School,Lower Allen Township,PA,Elementary,Parking Lot,Yes,Dismissal,3:00 PM,No,Yes,No,No
20050520ILLOM,2005-05-20,Spring,Locust Elementary School,Marengo,IL,Elementary,Parking Lot,Yes,Dismissal,3:00 PM,No,No,No,No
20050524COACD,2005-05-24,Spring,Academia Ana Marie Sandoval Montessori School,Denver,CO,Other,Playground,Yes,Afternoon Classes,1:00 PM,No,No,No,No
20050524LABOS,2005-05-24,Spring,Booker T. Washington High School,Shreveport,LA,High,Beside Building,Yes,Dismissal,1:55 PM,No,No,No,No
20050608NYARP,2005-06-08,Summer,Arlington High School,Poughkeepsi,NY,High,Front of School,Yes,Dismissal,2:32 PM,No,No,No,No
20050612NJBAA,2005-06-12,Summer,Bangs Avenue Elementary School,Asbury Park,NJ,Elementary,Beside Building,No,Evening,9:30 PM,No,No,No,No
20050718NJWEN,2005-07-18,Summer,Weequahic High School,Newark,NJ,High,Parking Lot,Yes,Afternoon Classes,1:30 PM,No,No,No,No
20050816VICOE,2005-08-16,Summer,Country Day High School,Estate Concordia,VI,High,Other,Yes,Before School,7:30 AM,No,No,No,No
20050817CAPLB,2005-08-17,Summer,Planatation Elementary School,Bakersfield,CA,Elementary,Parking Lot,No,Evening,6:00 PM,No,No,No,No
20050819GAMOM,2005-08-19,Summer,Morrow High School,Morrow,GA,High,Parking Lot,Yes,Morning Classes,11:00 AM,No,No,,No
20050825TNMAD,2005-08-25,Summer,Maury Middle School,Dandridge,TN,Middle,Bathroom,Yes,Morning Classes,9:30 AM,No,No,No,Yes
20050901AKDIA,2005-09-01,Fall,Dimond High School,Anchorage,AK,High,Parking Lot,No,Evening,5:00 PM,No,No,No,No
20050902FLSOJ,2005-09-02,Fall,Sojourner Truth High School,Jacksonville,FL,High,Beside Building,Yes,Dismissal,12:50 PM,,No,No,No
20050913ILHAC,2005-09-13,Fall,Harlan Community Academy High School,Chicago,IL,High,Hallway,Yes,Dismissal,2:20 PM,,No,No,No
20050924MISAS,2005-09-24,Fall,Saginaw High School,Saginaw,MI,High,Beside Building,No,School Event,11:30 PM,No,No,Yes,No
20051011MIFAF,2005-10-11,Fall,Farmington High School,Farmington,MI,High,Bathroom,Yes,School Start,8:00 AM,,,No,No
20051014NYSAN,2005-10-14,Fall,Samula Tilden High School,New York,NY,High,Beside Building,Yes,Morning Classes,9:15 AM,No,No,No,No
20051019CASAS,2005-10-19,Fall,San Gorgonio High School,San Bernardino,CA,High,Parking Lot,Yes,School Start,7:40 AM,No,No,No,No
20051020MISAS,2005-10-20,Fall,Saginaw High School,Saginaw,MI,High,Office,Yes,Lunch,12:00 PM,,No,Yes,No
20051027CABIF,2005-10-27,Fall,Birney Elementary School,Fresno,CA,Elementary,Parking Lot,Yes,,,No,No,Yes,No
20051028MDANA,2005-10-28,Fall,Annapolis High School,Annapolis,MD,High,Football Field/Track,No,Sport Event,8:30 PM,No,No,No,No
20051028NYFAF,2005-10-28,Fall,Farmingdale High School,Farmingdale,NY,High,Front of School,No,School Event,7:45 PM,No,No,No,No
20051108TNCAJ,2005-11-08,Fall,Campbell County High School,"Jacksboro, TN",TN,High,Hallway,Yes,Afternoon Classes,14:00:00,No,No,No,No
20051115FLPAM,2005-11-15,Fall,Parkway Academy Charter High School (bus),Miramar,FL,High,School Bus,Yes,Before School,7:45 AM,No,No,No,No
20051116TXIRS,2005-11-16,Fall,Irving Middle School,San Antonio,TX,Middle,Parking Lot,Yes,,,,,,
20051205MABOR,2005-12-05,Winter,Boston Day and Evening Academy (High School),Roxbury,MA,High,Bathroom,Yes,Afternoon Classes,2:20 PM,No,No,No,No
20051206MICED,2005-12-06,Winter,Central High School,Detroit,MI,High,Hallway,Yes,Afternoon Classes,1:30 PM,No,No,,No
